divergence_bin	draws	mean_workplace_residence_r	median_ratio_exposure_to_population_heat	p_exposure_beats_population_heat
0.0-0.1	375	0.928	1.00	0.520
0.1-0.2	414	0.872	0.96	0.012
0.2-0.3	405	0.741	0.96	0.096
0.3-0.4	389	0.512	1.02	0.661
0.4-0.5	401	0.249	1.16	0.988
0.5-0.6	392	0.021	1.42	1.000
0.6-0.7	401	-0.148	1.82	1.000
0.7-0.8	403	-0.268	2.47	1.000
0.8-0.9	439	-0.354	3.55	1.000
0.9-1.0	381	-0.414	5.29	1.000
