Variables,(1) / High- tech,(2) / Tradi- tional,(3) / Large,(4) / Small,(5) / Non- SOE,(6) / SOE,(7) / Eastern,(8) / Central/ Western
L.AI,0.0212 *** (0.0058),0.0061 (0.0064),0.0188 *** (0.0051),0.0057 (0.0072),0.0203 *** (0.0053),0.0069 (0.0071),0.0197 *** (0.0050),0.0072 * (0.0043)
Controls,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Firm FE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Year FE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Observations,"13,842","15,132","14,486","14,488","19,104","9,870","18,326","10,648"
R-squared,0.104,0.071,0.098,0.069,0.101,0.078,0.099,0.082
F,27.41,13.62,25.18,12.94,29.03,15.27,28.16,16.83
