ref_no,authors,title,journal_abbrev,year,volume,issue,pages,doi
43,"Milone, F.L.; Paolucci, E.; Raguseo, E.",Do digital platforms create entrepreneurial opportunities? Evidence from marginal areas,Strateg. Entrep. J.,2025,,,1–34,10.1002/sej.1542
44,"Tushman, M.L.; Nadler, D.A.",Information processing as an integrating concept in organizational design,Acad. Manag. Rev.,1978,3,,613–624,10.5465/amr.1978.4305791
45,"Yang, X.; Wang, C.; Liu, B.",ESG performance and corporate labor investment efficiency: Evidence from China,Int. Rev. Econ. Finance,2025,98,,103910,10.1016/j.iref.2025.103910
46,"Shen, L.; Li, Z.; Liang, Y.; Feng, Y.; Zhang, Z.",Artificial intelligence adoption and corporate ESG performance: Evidence from a refined large language model,Front. Artif. Intell.,2025,8,,1691468,10.3389/frai.2025.1691468
47,"Gregori, P.; Holzmann, P.; Audretsch, D.B.",Sustainable entrepreneurship on digital platforms and the enactment of digital connectivity through business models,Bus. Strategy Environ.,2024,33,2,1173–1190,10.1002/bse.3551
48,"Chaudhary, S.; Kaur, P.; Alofaysan, H.; Halberstadt, J.; Dhir, A.",Connecting the dots? Entrepreneurial ecosystems and sustainable entrepreneurship as pathways to sustainability,Bus. Strategy Environ.,2023,32,8,5935–5951,10.1002/bse.3466
49,"Allal-Chérif, O.; Costa Climent, J.; Berenguer, K.J.U.","Born to be sustainable: How to combine strategic disruption, open innovation, and process digitization to create a sustainable business",J. Bus. Res.,2023,154,,113379,10.1016/j.jbusres.2022.113379
50,"Chistov, V.; Aramburu, N.; Fabra Florit, M.E.; Peña-Legazkue, I.; Weritz, P.",Sustainability orientation and firm growth as ventures mature,Bus. Strategy Environ.,2023,32,8,5314–5331,10.1002/bse.3418
51,"Huang, Y.; Liu, S.; Gan, J.; Liu, B.; Wu, Y.",How does the construction of new generation of national AI innovative development pilot zones drive enterprise ESG development? Empirical evidence from China,Energy Econ.,2024,140,,108011,10.1016/j.eneco.2024.108011
52,"Omol, E.J.",Organizational digital transformation: from evolution to future trends,Digit. Transform. Soc.,2024,3,3,240–256,10.1108/DTS-08-2023-0061
53,"Lu, R.; Peng, X.; Reve, T.","Firms’ digital transformation, competitive strategies, and innovation: Evidence from Chinese listed companies",J. Manag. Organ.,2025,31,,575–601,10.1017/jmo.2023.34
54,"Fang, L.; Li, Z.",Corporate digitalization and green innovation: Evidence from textual analysis of firm annual reports and corporate green patent data in China,Bus. Strategy Environ.,2024,33,,3936–3964,10.1002/bse.3691
55,"Baker, S.R.; Bloom, N.; Davis, S.J.",Measuring economic policy uncertainty,Q. J. Econ.,2016,131,,1593–1636,10.1093/qje/qjw024
56,"Wellman, L.A.",Mitigating political uncertainty,Rev. Account. Stud.,2017,22,,217–250,10.1007/s11142-016-9385-8
57,"Goldsmith-Pinkham, P.; Sorkin, I.; Swift, H.","Bartik instruments: What, when, why, and how",Am. Econ. Rev.,2020,110,,2586–2624,10.1257/aer.20181047
