func,algo,run,best_f,seconds
F12022,BKA-S2,28,3.2862222369e+02,0.28
F12022,BKA-S2,29,5.4391516749e+02,0.28
F12022,BKA-S3,4,3.7988265467e+02,0.21
F12022,BKA-S3,5,3.6383301946e+02,0.20
F12022,BKA-S3,6,3.5316425394e+02,0.21
F12022,BKA-S3,7,3.0295915700e+02,0.21
F12022,BKA-S3,8,5.1715622918e+02,0.21
F12022,BKA-S3,9,3.6562835308e+02,0.20
F12022,BKA-S3,10,4.6325880397e+02,0.21
F12022,BKA-S3,11,3.5659481927e+02,0.21
F12022,BKA-S3,12,4.3949771936e+02,0.21
F12022,BKA-S3,13,3.6407750148e+02,0.21
F12022,BKA-S3,14,4.0418462823e+02,0.21
F12022,BKA-S3,15,3.2817266189e+02,0.21
F12022,BKA-S3,16,4.1197217401e+02,0.21
F12022,BKA-S3,17,4.4209199412e+02,0.21
F12022,BKA-S3,18,1.8122119059e+03,0.21
F12022,BKA-S3,19,4.0876914657e+02,0.21
F12022,BKA-S3,20,4.8938787845e+02,0.21
F12022,BKA-S3,21,3.6043088492e+02,0.21
F12022,BKA-S3,22,4.5987043286e+02,0.21
F12022,BKA-S3,23,3.9111306547e+02,0.21
F12022,BKA-S3,24,3.7794697762e+02,0.21
F12022,BKA-S3,25,3.0184099940e+02,0.20
F12022,BKA-S3,26,3.5198190797e+02,0.21
F12022,BKA-S3,27,5.3921839140e+02,0.20
F12022,BKA-S3,28,3.3941458655e+02,0.21
F12022,BKA-S3,29,3.8254449371e+02,0.21
F12022,SSA,0,3.0000000363e+02,0.19
F12022,SSA,1,3.0000107433e+02,0.20
F12022,SSA,2,3.0000000038e+02,0.19
F12022,SSA,3,3.0000000044e+02,0.19
F12022,SSA,4,3.0000000025e+02,0.19
F12022,SSA,5,3.0000005005e+02,0.19
F12022,SSA,6,3.0000000176e+02,0.19
F12022,SSA,7,3.0000001291e+02,0.19
F12022,SSA,8,3.0000001542e+02,0.19
F12022,SSA,9,3.0000000160e+02,0.19
F12022,SSA,10,3.0000008368e+02,0.19
F12022,SSA,11,3.0000018037e+02,0.19
F12022,SSA,12,3.0000011913e+02,0.19
F12022,SSA,13,3.0000023296e+02,0.19
F12022,SSA,14,3.0000008882e+02,0.19
F12022,SSA,15,3.0000000047e+02,0.19
F12022,SSA,16,3.0000003491e+02,0.19
F12022,SSA,17,3.0000050581e+02,0.19
F12022,SSA,18,3.0000000018e+02,0.20
F12022,SSA,19,3.0000008667e+02,0.20
F12022,SSA,20,3.0000000008e+02,0.19
F12022,SSA,21,3.0000000513e+02,0.19
F12022,SSA,22,3.0000000545e+02,0.19
F12022,SSA,23,3.0000000145e+02,0.19
F12022,SSA,24,3.0000000792e+02,0.19
F12022,SSA,25,3.0000000001e+02,0.19
F12022,SSA,26,3.0000963909e+02,0.19
F12022,SSA,27,3.0000000024e+02,0.20
F12022,SSA,28,3.0000098992e+02,0.19
F12022,SSA,29,3.0000000658e+02,0.19
F12022,COA,0,3.0001513703e+02,0.21
F12022,COA,1,3.0000009032e+02,0.21
F12022,COA,2,3.0003719386e+02,0.20
F12022,COA,3,3.0000012490e+02,0.21
F12022,COA,8,3.0000013124e+02,0.19
F12022,COA,9,3.0000047379e+02,0.20
F12022,COA,10,3.0000117513e+02,0.20
F12022,COA,11,3.0000827231e+02,0.21
F12022,COA,4,3.0000321940e+02,0.21
F12022,COA,5,3.0000122332e+02,0.21
F12022,COA,6,3.0000071384e+02,0.20
F12022,COA,7,3.0019150176e+02,0.22
F12022,COA,12,3.0000292719e+02,0.22
F12022,COA,13,3.0000069772e+02,0.20
F12022,COA,14,3.0000081803e+02,0.23
F12022,COA,15,3.0000019428e+02,0.21
F12022,COA,16,3.0000614862e+02,0.21
F12022,COA,17,3.0001102800e+02,0.21
F12022,COA,18,3.0000006173e+02,0.22
F12022,COA,19,3.0000000714e+02,0.20
F12022,COA,20,3.0000002406e+02,0.20
F12022,COA,21,3.0000650784e+02,0.22
F12022,COA,22,3.0000954143e+02,0.20
F12022,COA,23,3.0000104446e+02,0.21
F12022,COA,24,3.0000015656e+02,0.20
F12022,COA,25,3.0000682081e+02,0.22
F12022,COA,26,3.0000015252e+02,0.21
F12022,COA,27,3.0003313912e+02,0.21
F12022,COA,28,3.0000100513e+02,0.22
F12022,COA,29,3.0000034355e+02,0.21
F12022,GWO,0,4.9305514599e+02,0.37
F12022,GWO,1,2.6815602706e+03,0.36
F12022,GWO,2,5.1049801027e+02,0.37
F12022,GWO,3,3.2107871557e+03,0.38
F12022,GWO,4,4.9651474605e+02,0.36
F12022,GWO,5,2.7737975067e+03,0.36
F12022,GWO,6,6.5073901155e+03,0.37
F12022,GWO,7,1.6632509020e+03,0.37
F12022,GWO,8,1.0480328438e+03,0.35
F12022,GWO,9,4.9182965050e+02,0.35
F12022,GWO,10,4.8882437067e+02,0.37
F12022,GWO,11,4.8820125844e+03,0.38
F12022,GWO,12,4.9341471850e+02,0.36
F12022,GWO,13,4.9352533441e+02,0.36
F12022,GWO,14,1.9601263317e+03,0.36
F12022,GWO,15,5.0326940830e+02,0.37
F12022,GWO,16,1.8715577162e+03,0.38
F12022,GWO,17,5.1805053980e+02,0.38
F12022,GWO,18,1.0213223230e+03,0.36
F12022,GWO,19,4.3451119449e+02,0.37
F12022,GWO,20,4.8582561886e+02,0.38
F12022,GWO,21,2.6170311168e+03,0.36
F12022,GWO,22,2.7497491447e+03,0.36
F12022,GWO,23,4.9344880931e+02,0.38
F12022,GWO,24,2.7742709923e+03,0.39
F12022,GWO,25,3.2719501971e+03,0.37
F12022,GWO,26,4.8215488787e+02,0.36
F12022,GWO,27,5.2834995922e+02,0.38
F12022,GWO,28,4.9026792806e+02,0.39
F12022,GWO,29,7.6042133055e+02,0.36
F12022,SCA,0,4.1509438176e+03,0.29
F12022,SCA,1,3.2042178666e+03,0.28
F12022,SCA,2,1.2341712385e+03,0.28
F12022,SCA,3,3.2221160523e+03,0.33
F12022,SCA,4,1.5125662034e+03,0.28
F12022,SCA,5,1.9134146226e+03,0.28
F12022,SCA,6,2.4054772571e+03,0.28
F12022,SCA,7,1.8957335443e+03,0.28
F12022,SCA,8,1.1253176542e+03,0.28
F12022,SCA,9,2.9456213112e+03,0.28
F12022,SCA,10,1.8054033176e+03,0.29
F12022,SCA,11,3.3648797795e+03,0.29
F12022,SCA,12,2.7053298911e+03,0.28
F12022,SCA,13,2.8497851737e+03,0.29
F12022,SCA,14,3.7396928873e+03,0.29
F12022,SCA,15,2.7710260362e+03,0.28
F12022,SCA,16,3.9986653128e+03,0.29
F12022,SCA,17,2.3226401045e+03,0.29
F12022,SCA,18,2.1785103706e+03,0.29
