func,algo,run,best_f,seconds
F12017,SBOA-EDS,21,8.1141850600e+02,0.71
F12017,SBOA-EDS,22,3.0336654038e+02,0.72
F12017,SBOA-EDS,23,4.4658491571e+03,0.72
F12017,SBOA-EDS,24,2.6548205405e+03,0.72
F12017,SBOA-EDS,25,3.8694399784e+03,0.71
F12017,SBOA-EDS,26,2.5287511500e+03,0.73
F12017,SBOA-EDS,27,1.8510914289e+03,0.73
F12017,SBOA-EDS,28,8.5660490352e+03,0.73
F12017,SBOA-EDS,29,9.8017664353e+03,0.73
F22017,MSSBOA,0,2.0017727998e+02,0.84
F22017,MSSBOA,1,2.0010047368e+02,0.84
F22017,MSSBOA,2,2.0032109773e+02,0.82
F22017,MSSBOA,3,2.0014060063e+02,0.86
F22017,MSSBOA,4,2.0351884297e+02,0.81
F22017,MSSBOA,5,2.0032799551e+02,0.84
F22017,MSSBOA,6,2.0003422198e+02,0.84
F22017,MSSBOA,7,2.0238331312e+02,0.84
F22017,MSSBOA,8,2.0054492161e+02,0.82
F22017,MSSBOA,9,2.0031773277e+02,0.84
F22017,MSSBOA,10,2.0020274054e+02,0.84
F22017,MSSBOA,11,2.0061818360e+02,0.82
F22017,MSSBOA,12,2.0027917935e+02,0.82
F22017,MSSBOA,13,2.0025481883e+02,0.86
F22017,MSSBOA,14,2.0151599056e+02,0.86
F22017,MSSBOA,15,2.0037474920e+02,0.87
F22017,MSSBOA,16,2.0028386076e+02,0.83
F22017,MSSBOA,17,2.0044620926e+02,0.87
F22017,MSSBOA,18,2.0007192146e+02,0.84
F22017,MSSBOA,19,2.0036674517e+02,0.84
F22017,MSSBOA,20,2.0113713870e+02,0.83
F22017,MSSBOA,21,2.0015173531e+02,0.80
F22017,MSSBOA,22,2.0137283715e+02,0.81
F22017,MSSBOA,23,2.0136210599e+02,0.82
F22017,MSSBOA,24,2.0023790390e+02,0.84
F22017,MSSBOA,25,2.0019204904e+02,0.81
F22017,MSSBOA,26,2.0239038091e+02,0.81
F22017,MSSBOA,27,2.0004486626e+02,0.81
F22017,MSSBOA,28,2.0343978888e+02,0.88
F22017,MSSBOA,29,2.0013127142e+02,0.85
F22017,SBOA-EDS,0,2.0025845374e+02,0.93
F22017,SBOA-EDS,1,2.0081486466e+02,0.88
F22017,SBOA-EDS,2,2.0015238985e+02,0.80
F22017,SBOA-EDS,3,2.0016061161e+02,0.89
F22017,SBOA-EDS,4,2.0006141573e+02,0.83
F22017,SBOA-EDS,5,2.0013046914e+02,1.00
F22017,SBOA-EDS,6,2.0025246454e+02,0.93
F22017,SBOA-EDS,7,2.0030434759e+02,0.84
F22017,SBOA-EDS,8,2.0006200984e+02,0.83
F22017,SBOA-EDS,9,2.0036638481e+02,0.80
F22017,SBOA-EDS,10,2.0013891442e+02,1.05
F22017,SBOA-EDS,11,2.0098330205e+02,0.81
F22017,SBOA-EDS,12,2.0099588137e+02,0.84
F22017,SBOA-EDS,13,2.0017470206e+02,0.81
F22017,SBOA-EDS,14,2.0130817329e+02,0.89
F22017,SBOA-EDS,15,2.0009155421e+02,0.81
F22017,SBOA-EDS,16,2.0221677694e+02,0.82
F22017,SBOA-EDS,17,2.0003210117e+02,0.79
F22017,SBOA-EDS,18,2.0097285451e+02,0.81
F22017,SBOA-EDS,19,2.0036286876e+02,0.84
F22017,SBOA-EDS,20,2.0129726217e+02,0.81
F22017,SBOA-EDS,21,2.0006409669e+02,0.82
F22017,SBOA-EDS,22,2.0021178599e+02,0.81
F22017,SBOA-EDS,23,2.0014325197e+02,0.82
F22017,SBOA-EDS,24,2.0044593218e+02,0.81
F22017,SBOA-EDS,25,2.0011939340e+02,0.82
F22017,SBOA-EDS,26,2.0114089619e+02,0.83
F22017,SBOA-EDS,27,2.0018011235e+02,0.83
F22017,SBOA-EDS,28,2.0007897708e+02,0.84
F22017,SBOA-EDS,29,2.0004284717e+02,0.82
F32017,MSSBOA,0,3.3084993199e+02,0.95
F32017,MSSBOA,1,4.4894038928e+02,0.96
F32017,MSSBOA,2,4.0730545790e+02,0.95
F32017,MSSBOA,3,3.8643226255e+02,0.96
F32017,MSSBOA,4,3.8456936702e+02,1.02
F32017,MSSBOA,5,4.2980297229e+02,0.97
F32017,MSSBOA,6,4.4131842713e+02,0.98
F32017,MSSBOA,7,3.9807835007e+02,1.00
F32017,MSSBOA,8,3.8142288875e+02,0.99
F32017,MSSBOA,9,3.1745659718e+02,0.96
F32017,MSSBOA,10,3.4190823934e+02,1.08
F32017,MSSBOA,11,3.3024827625e+02,1.17
F32017,MSSBOA,12,3.8268423865e+02,0.99
F32017,MSSBOA,13,4.4343896026e+02,1.00
F32017,MSSBOA,14,3.8351915417e+02,0.98
F32017,MSSBOA,15,3.8114963170e+02,1.10
F32017,MSSBOA,16,3.3358643587e+02,0.96
F32017,MSSBOA,17,3.8896590024e+02,0.99
F32017,MSSBOA,18,4.4848952884e+02,1.08
F32017,MSSBOA,19,4.5732967201e+02,0.95
F32017,MSSBOA,20,4.4132920916e+02,1.12
F32017,MSSBOA,21,3.1695819413e+02,1.07
F32017,MSSBOA,22,3.9062302021e+02,1.03
F32017,MSSBOA,23,4.3093575275e+02,0.98
F32017,MSSBOA,28,3.8241163001e+02,0.98
F32017,MSSBOA,29,3.8186440423e+02,0.97
F32017,SBOA-EDS,0,3.2341295023e+02,0.97
F32017,SBOA-EDS,1,3.6997438701e+02,0.96
F32017,MSSBOA,24,3.3538928541e+02,1.02
F32017,MSSBOA,25,3.8836477219e+02,1.00
F32017,MSSBOA,26,3.7017116523e+02,1.00
F32017,MSSBOA,27,3.8338357815e+02,0.99
F32017,SBOA-EDS,2,3.8093475121e+02,0.97
F32017,SBOA-EDS,3,3.8143664047e+02,0.94
F32017,SBOA-EDS,4,4.3658237051e+02,0.97
F32017,SBOA-EDS,5,3.8159126941e+02,0.97
F32017,SBOA-EDS,6,4.1942016663e+02,0.97
F32017,SBOA-EDS,7,3.6056605680e+02,0.98
F32017,SBOA-EDS,8,3.5415929907e+02,0.99
F32017,SBOA-EDS,9,3.6328486236e+02,0.98
F32017,SBOA-EDS,10,4.3781692190e+02,0.97
F32017,SBOA-EDS,11,3.6926111970e+02,0.96
F32017,SBOA-EDS,12,4.2650909102e+02,0.96
F32017,SBOA-EDS,13,3.9072078437e+02,0.96
F32017,SBOA-EDS,14,4.2931311221e+02,0.97
F32017,SBOA-EDS,15,3.8215451354e+02,1.02
F32017,SBOA-EDS,16,4.3364012091e+02,0.98
F32017,SBOA-EDS,17,3.7762576014e+02,0.97
F32017,SBOA-EDS,18,3.7278007280e+02,0.95
F32017,SBOA-EDS,19,4.9263613708e+02,0.94
F32017,SBOA-EDS,20,3.8386257103e+02,0.96
F32017,SBOA-EDS,21,3.7821147695e+02,0.94
F32017,SBOA-EDS,22,3.8432124140e+02,0.97
F32017,SBOA-EDS,23,3.7744750743e+02,0.97
F32017,SBOA-EDS,24,4.4636606200e+02,1.02
F32017,SBOA-EDS,25,4.3005772743e+02,0.98
F42017,MSSBOA,0,5.0849633512e+02,0.86
F42017,MSSBOA,1,1.0924794353e+03,0.89
F42017,MSSBOA,2,5.8051150090e+02,0.88
F42017,MSSBOA,3,8.5679880780e+02,0.89
F32017,SBOA-EDS,26,3.7821015616e+02,0.96
F32017,SBOA-EDS,27,3.8520372634e+02,0.98
F32017,SBOA-EDS,28,3.8007013959e+02,0.99
F32017,SBOA-EDS,29,3.3745424779e+02,0.97
F42017,MSSBOA,4,5.1257377628e+02,0.85
F42017,MSSBOA,5,8.3785078417e+02,0.84
F42017,MSSBOA,6,6.8856948645e+02,0.87
F42017,MSSBOA,7,5.5677292514e+02,0.87
F42017,MSSBOA,8,6.5487780112e+02,0.90
F42017,MSSBOA,9,6.4422982824e+02,0.87
F42017,MSSBOA,10,6.3129926800e+02,0.89
F42017,MSSBOA,11,5.9676501163e+02,0.88
F42017,MSSBOA,12,5.4490089953e+02,0.94
F42017,MSSBOA,13,9.0248730482e+02,0.87
F42017,MSSBOA,14,6.9454049654e+02,0.91
F42017,MSSBOA,15,7.4931196996e+02,0.87
F42017,MSSBOA,16,8.5370588800e+02,0.88
F42017,MSSBOA,17,6.2040273331e+02,0.88
F42017,MSSBOA,18,5.2463080307e+02,0.88
F42017,MSSBOA,19,7.9994586616e+02,0.86
F42017,MSSBOA,20,6.0595853632e+02,0.89
F42017,MSSBOA,21,5.5352177575e+02,0.87
F42017,MSSBOA,22,5.6302712352e+02,0.87
F42017,MSSBOA,23,5.4781372345e+02,0.84
F42017,MSSBOA,24,7.0154814766e+02,0.89
F42017,MSSBOA,25,6.9742167002e+02,0.90
F42017,MSSBOA,26,6.7162255100e+02,0.91
F42017,MSSBOA,27,5.3833259652e+02,0.89
F42017,MSSBOA,28,1.0319430773e+03,0.89
F42017,MSSBOA,29,6.1212457229e+02,0.89
F42017,SBOA-EDS,0,6.4409707568e+02,0.86
F42017,SBOA-EDS,1,6.4333724915e+02,0.87
F42017,SBOA-EDS,2,5.5612025056e+02,0.94
F42017,SBOA-EDS,3,6.7863216909e+02,0.88
F42017,SBOA-EDS,4,5.5855508978e+02,0.86
F42017,SBOA-EDS,5,7.1082545246e+02,0.85
F42017,SBOA-EDS,6,5.2468086711e+02,0.86
F42017,SBOA-EDS,7,6.0235246197e+02,0.89
F42017,SBOA-EDS,8,7.3992187285e+02,0.87
F42017,SBOA-EDS,9,5.8286669024e+02,0.88
F42017,SBOA-EDS,10,5.5797615176e+02,0.88
F42017,SBOA-EDS,11,7.6286125874e+02,0.89
F42017,SBOA-EDS,12,6.2886348982e+02,0.88
F42017,SBOA-EDS,13,5.9412605728e+02,0.88
F42017,SBOA-EDS,14,8.1303962691e+02,0.87
F42017,SBOA-EDS,15,5.0448136251e+02,0.91
F42017,SBOA-EDS,16,5.6816287210e+02,0.87
F42017,SBOA-EDS,17,5.8990537012e+02,0.87
F42017,SBOA-EDS,18,5.5223185767e+02,0.87
F42017,SBOA-EDS,19,5.6866745302e+02,0.87
F42017,SBOA-EDS,20,4.9611653860e+02,0.88
F42017,SBOA-EDS,21,5.5323970265e+02,0.86
F42017,SBOA-EDS,22,6.2419991196e+02,0.85
F42017,SBOA-EDS,23,6.1295793976e+02,0.88
F42017,SBOA-EDS,24,5.3344803867e+02,0.86
F42017,SBOA-EDS,25,8.1692448153e+02,0.87
F42017,SBOA-EDS,26,5.5736330750e+02,0.90
F42017,SBOA-EDS,27,5.7422797200e+02,0.88
F42017,SBOA-EDS,28,4.9426145334e+02,0.89
F42017,SBOA-EDS,29,6.8860062767e+02,0.90
F52017,MSSBOA,8,5.0000000254e+02,2.41
F52017,MSSBOA,9,5.0000023486e+02,2.36
F52017,MSSBOA,10,5.0000000689e+02,2.31
