func,algo,run,best_f,seconds
F12022,MSBKA,8,2.9448169802e+03,0.55
F12022,MSBKA,9,2.6770365716e+03,0.53
F12022,MSBKA,10,3.0671512873e+03,0.55
F12022,MSBKA,11,2.7071039142e+03,0.54
F12022,MSBKA,4,2.8594228928e+03,0.55
F12022,MSBKA,5,6.5427107344e+03,0.54
F12022,MSBKA,6,1.0405809837e+03,0.54
F12022,MSBKA,7,4.0732264478e+03,0.53
F12022,MSBKA,12,2.0131319684e+03,0.57
F12022,MSBKA,13,3.0767779504e+03,0.54
F12022,MSBKA,14,2.5280356024e+03,0.53
F12022,MSBKA,15,2.6210176535e+03,0.53
F12022,MSBKA,0,1.4321551424e+03,0.58
F12022,MSBKA,1,4.4036173932e+03,0.56
F12022,MSBKA,2,2.3714302573e+03,0.56
F12022,MSBKA,3,4.2323166897e+03,0.56
F12022,MSBKA,28,2.2518155004e+03,0.55
F12022,MSBKA,29,5.0198445102e+03,0.55
F12022,BKA,0,7.0752044370e+03,0.42
F12022,BKA,1,1.9619240975e+03,0.41
F12022,MSBKA,24,5.6353797902e+03,0.53
F12022,MSBKA,25,1.8020312707e+03,0.54
F12022,MSBKA,26,4.7501285969e+03,0.53
F12022,MSBKA,27,3.0906675464e+03,0.54
F12022,MSBKA,16,1.7083893826e+03,0.54
F12022,MSBKA,17,1.8716051226e+03,0.54
F12022,MSBKA,18,3.1745644846e+03,0.54
F12022,MSBKA,19,2.6871163012e+03,0.54
F12022,MSBKA,20,3.2936227956e+03,0.54
F12022,MSBKA,21,2.4862909522e+03,0.54
F12022,MSBKA,22,2.3260866555e+03,0.54
F12022,MSBKA,23,3.1045788347e+03,0.54
F12022,BKA,2,5.9071391888e+03,0.42
F12022,BKA,3,3.1241139771e+03,0.43
F12022,BKA,4,3.7694750539e+02,0.45
F12022,BKA,5,1.5171691170e+03,0.44
F12022,BKA,6,2.4991692746e+03,0.40
F12022,BKA,7,3.2216191952e+03,0.42
F12022,BKA,8,3.5900000017e+03,0.43
F12022,BKA,9,5.6513209540e+03,0.43
F12022,BKA,10,7.6869296470e+03,0.41
F12022,BKA,11,7.8406230618e+02,0.42
F12022,BKA,12,3.1579374723e+03,0.43
F12022,BKA,13,1.5788703969e+03,0.43
F12022,BKA,14,5.7983187384e+03,0.41
F12022,BKA,15,2.3767539072e+03,0.43
F12022,BKA,16,2.2961485009e+03,0.44
F12022,BKA,17,2.5668214433e+03,0.43
F12022,BKA,18,5.5923456645e+03,0.42
F12022,BKA,19,4.3870596096e+03,0.43
F12022,BKA,20,2.5882389959e+03,0.42
F12022,BKA,21,2.1957042770e+03,0.42
F12022,BKA,22,5.1154501771e+03,0.41
F12022,BKA,23,4.0000808628e+03,0.42
F12022,BKA,24,3.4970075987e+03,0.41
F12022,BKA,25,1.0577611028e+03,0.41
F12022,BKA,26,4.7057542951e+03,0.42
F12022,BKA,27,2.4035346687e+03,0.43
F12022,BKA,28,7.0642489876e+02,0.41
F12022,BKA,29,2.7202439771e+03,0.41
F12022,BKA-S1,0,7.5480916441e+03,0.42
F12022,BKA-S1,1,2.6732836114e+03,0.43
F12022,BKA-S1,2,6.5301837295e+03,0.42
F12022,BKA-S1,3,1.9635385153e+03,0.41
F12022,BKA-S1,4,4.6071730230e+02,0.42
F12022,BKA-S1,5,2.7134182491e+03,0.41
F12022,BKA-S1,6,2.0102112961e+03,0.41
F12022,BKA-S1,7,5.8854057539e+03,0.40
F12022,BKA-S1,8,3.0271845736e+03,0.41
F12022,BKA-S1,9,7.1354419881e+03,0.40
F12022,BKA-S1,10,2.1131085275e+03,0.40
F12022,BKA-S1,11,2.9988912411e+03,0.40
F12022,BKA-S1,12,5.8776265917e+02,0.40
F12022,BKA-S1,13,5.4777614221e+03,0.41
F12022,BKA-S1,14,3.3842725334e+03,0.40
F12022,BKA-S1,15,1.6855227880e+03,0.40
F12022,BKA-S1,16,2.5506003551e+03,0.41
F12022,BKA-S1,17,2.5681339208e+03,0.41
F12022,BKA-S1,18,6.2831807414e+02,0.41
F12022,BKA-S1,19,6.6952534880e+02,0.41
F12022,BKA-S1,20,1.9207928810e+03,0.41
F12022,BKA-S1,21,2.3978697590e+03,0.41
F12022,BKA-S1,22,4.6373511477e+03,0.41
F12022,BKA-S1,23,5.1242732874e+03,0.41
F12022,BKA-S1,24,9.6955374959e+02,0.41
F12022,BKA-S1,25,4.7825314345e+03,0.41
F12022,BKA-S1,26,8.0043793900e+03,0.40
F12022,BKA-S1,27,2.9176395392e+03,0.41
F12022,BKA-S1,28,1.5463215096e+03,0.40
F12022,BKA-S1,29,1.3489959963e+03,0.40
F12022,BKA-S2,0,9.0468397015e+03,0.54
F12022,BKA-S2,1,6.9503617946e+03,0.54
F12022,BKA-S2,2,8.7270242297e+03,0.53
F12022,BKA-S2,3,3.0972534728e+03,0.53
F12022,BKA-S2,4,5.7115964160e+03,0.54
F12022,BKA-S2,5,4.1913718660e+03,0.54
F12022,BKA-S2,10,3.6575244617e+03,0.54
F12022,BKA-S2,11,1.0926741634e+04,0.54
F12022,BKA-S2,12,5.0090533033e+03,0.55
F12022,BKA-S2,13,4.9492920135e+03,0.57
F12022,BKA-S2,6,2.5160378802e+03,0.55
F12022,BKA-S2,7,6.7383863873e+03,0.54
F12022,BKA-S2,8,8.6822579024e+03,0.55
F12022,BKA-S2,9,6.6950983240e+03,0.57
F12022,BKA-S2,14,3.7546073283e+03,0.56
F12022,BKA-S2,15,2.0284417701e+03,0.55
F12022,BKA-S2,16,7.5203594463e+03,0.57
F12022,BKA-S2,17,1.3080482585e+04,0.57
F12022,BKA-S2,18,3.4192751536e+03,0.55
F12022,BKA-S2,19,2.0958869853e+03,0.55
F12022,BKA-S2,20,5.6512775077e+03,0.60
F12022,BKA-S2,21,1.0760200705e+04,0.55
F12022,BKA-S3,0,3.2269338153e+03,0.42
F12022,BKA-S3,1,2.6409097817e+03,0.41
F12022,BKA-S3,2,2.2338919430e+03,0.41
F12022,BKA-S3,3,6.3994979702e+03,0.40
F12022,BKA-S2,22,4.1599300991e+03,0.57
F12022,BKA-S2,23,4.9706676141e+03,0.53
F12022,BKA-S2,24,5.6406272194e+03,0.53
F12022,BKA-S2,25,2.8180194657e+03,0.53
F12022,BKA-S2,26,1.3399967282e+03,0.58
F12022,BKA-S2,27,1.6616005464e+03,0.55
F12022,BKA-S2,28,1.1738692191e+04,0.54
