dataset,algo,run,sse,silhouette
wholesale,BKA,17,5.4034729398e+02,0.307278
wholesale,BKA,18,5.2186729894e+02,0.265681
wholesale,BKA,19,5.3555913863e+02,0.301133
wholesale,BKA,20,5.2204170747e+02,0.252318
wholesale,BKA,21,5.2134698228e+02,0.258789
wholesale,BKA,22,5.3562890701e+02,0.301133
wholesale,BKA,23,5.2138367184e+02,0.261361
wholesale,BKA,24,5.2952664093e+02,0.202037
wholesale,BKA,25,5.2145373076e+02,0.264849
mall,SSA,0,4.4454476480e+04,0.553218
mall,SSA,1,6.6531978247e+04,0.460715
mall,SSA,2,4.4448455448e+04,0.553932
mall,SSA,3,4.4454476480e+04,0.553218
wholesale,BKA,26,5.2945104283e+02,0.202549
wholesale,BKA,27,5.2951430017e+02,0.202287
wholesale,BKA,28,5.2140840375e+02,0.258789
wholesale,BKA,29,5.3949573795e+02,0.307239
mall,SSA,4,4.4454476480e+04,0.553218
mall,SSA,5,4.4448455448e+04,0.553932
mall,SSA,6,6.7818533141e+04,0.473979
mall,SSA,7,4.4448455448e+04,0.553932
mall,SSA,8,4.4448455448e+04,0.553932
mall,SSA,9,4.4454476480e+04,0.553218
mall,SSA,10,4.4448455448e+04,0.553932
mall,SSA,11,6.6531978247e+04,0.460715
mall,SSA,12,6.6674360005e+04,0.459385
mall,SSA,13,4.4448455448e+04,0.553932
mall,SSA,14,4.4448455448e+04,0.553932
mall,SSA,15,4.4454476480e+04,0.553218
mall,SSA,16,4.4454476480e+04,0.553218
mall,SSA,17,6.7859584908e+04,0.481692
mall,SSA,18,4.4454476480e+04,0.553218
mall,SSA,19,4.4448455448e+04,0.553932
mall,SSA,20,6.6666004025e+04,0.465098
mall,SSA,21,4.4448455448e+04,0.553932
mall,SSA,22,4.4448455448e+04,0.553932
mall,SSA,23,4.4454476480e+04,0.553218
mall,SSA,24,4.4454476480e+04,0.553218
mall,SSA,25,4.4448455448e+04,0.553932
mall,SSA,26,4.4448455448e+04,0.553932
mall,SSA,27,4.4448455448e+04,0.553932
mall,SSA,28,4.4448455448e+04,0.553932
mall,SSA,29,6.6733438571e+04,0.462258
wholesale,SSA,0,5.2133786977e+02,0.264849
wholesale,SSA,1,5.3237285419e+02,0.282903
wholesale,SSA,2,5.2133786977e+02,0.264849
wholesale,SSA,3,5.2133787006e+02,0.264849
wholesale,SSA,4,5.3528301787e+02,0.301133
wholesale,SSA,5,5.2133786977e+02,0.264849
wholesale,SSA,6,5.2133786977e+02,0.264849
wholesale,SSA,7,5.2122040519e+02,0.261361
wholesale,SSA,8,5.2122381611e+02,0.259992
wholesale,SSA,9,6.1578226254e+02,0.300675
wholesale,SSA,10,5.2133786981e+02,0.264849
wholesale,SSA,11,5.3528301787e+02,0.301133
wholesale,SSA,12,5.3236371231e+02,0.283428
wholesale,SSA,13,5.2938085518e+02,0.203129
wholesale,SSA,14,5.2133786982e+02,0.264849
wholesale,SSA,15,5.2935510464e+02,0.201898
wholesale,SSA,16,5.2935510489e+02,0.201898
wholesale,SSA,17,5.2133787639e+02,0.264849
wholesale,SSA,18,6.1579411277e+02,0.301610
wholesale,SSA,19,5.2935513696e+02,0.201898
wholesale,SSA,20,5.2133786991e+02,0.264849
wholesale,SSA,21,5.2935510466e+02,0.201898
wholesale,SSA,22,5.3528303236e+02,0.301133
wholesale,SSA,23,6.1578226254e+02,0.300675
wholesale,SSA,24,5.2935696656e+02,0.201898
wholesale,SSA,25,5.2133786981e+02,0.264849
wholesale,SSA,26,5.2125096861e+02,0.258789
wholesale,SSA,27,5.3526749477e+02,0.298185
wholesale,SSA,28,5.3528320711e+02,0.301133
wholesale,SSA,29,5.2935664035e+02,0.201317
mall,COA,0,6.7617677218e+04,0.473715
mall,COA,1,6.6465148102e+04,0.463734
mall,COA,2,4.4448455448e+04,0.553932
mall,COA,3,4.4448455448e+04,0.553932
mall,COA,4,4.4448455448e+04,0.553932
mall,COA,5,4.4448455448e+04,0.553932
mall,COA,6,4.4454476480e+04,0.553218
mall,COA,7,4.4448455448e+04,0.553932
mall,COA,8,4.4448455448e+04,0.553932
mall,COA,9,4.4448455448e+04,0.553932
mall,COA,10,4.4448455448e+04,0.553932
mall,COA,11,4.4448455448e+04,0.553932
mall,COA,12,4.4448455448e+04,0.553932
mall,COA,13,4.4448455448e+04,0.553932
mall,COA,14,4.4448455448e+04,0.553932
mall,COA,15,4.4454476480e+04,0.553218
mall,COA,16,4.4448455448e+04,0.553932
