func,algo,run,best_f,seconds
F12017,SBOA,0,8.3492590991e+02,0.21
F12017,SBOA,1,1.7052164252e+03,0.21
F12017,SBOA,2,1.6444934535e+03,0.21
F12017,SBOA,3,9.4028555416e+02,0.21
F12017,SBOA,4,1.3643594090e+03,0.21
F12017,SBOA,5,3.7483564901e+02,0.21
F12017,SBOA,6,1.3557633149e+03,0.22
F12017,SBOA,7,9.4327438742e+02,0.21
F12017,SBOA,8,1.2683933867e+03,0.21
F12017,SBOA,9,1.0672648881e+03,0.21
F12017,SBOA,14,5.4451713009e+03,0.21
F12017,SBOA,15,1.1864426375e+03,0.21
F12017,SBOA,16,7.2261424101e+02,0.21
F12017,SBOA,17,2.3726569759e+03,0.22
F12017,SBOA,10,1.0150680770e+04,0.21
F12017,SBOA,11,7.7892520166e+02,0.24
F12017,SBOA,12,5.5426032600e+03,0.23
F12017,SBOA,13,1.1435338222e+03,0.22
F12017,SBOA,22,4.7921306898e+03,0.23
F12017,SBOA,23,4.2448961948e+03,0.21
F12017,SBOA,24,6.2220808126e+02,0.22
F12017,SBOA,25,1.4841229592e+03,0.21
F12017,SBOA,18,1.2921829017e+02,0.22
F12017,SBOA,19,5.9131490160e+02,0.22
F12017,SBOA,20,7.3817117630e+02,0.22
F12017,SBOA,21,4.5271588817e+03,0.22
F12017,SBOA,26,8.1920756050e+02,0.21
F12017,SBOA,27,9.5969793783e+02,0.22
F12017,SBOA,28,1.5045546632e+03,0.21
F12017,SBOA,29,6.8985702136e+02,0.21
F12017,SBOA-GPS,0,1.7024379916e+03,0.22
F12017,SBOA-GPS,1,9.1814908945e+02,0.22
F12017,SBOA-GPS,2,2.3323587186e+03,0.24
F12017,SBOA-GPS,3,1.5609116641e+03,0.23
F12017,SBOA-GPS,8,6.5940662019e+03,0.21
F12017,SBOA-GPS,9,5.2140321052e+02,0.21
F12017,SBOA-GPS,10,2.7567666946e+03,0.21
F12017,SBOA-GPS,11,1.6583108879e+03,0.21
F12017,SBOA-GPS,4,2.4752533829e+02,0.21
F12017,SBOA-GPS,5,1.8949727390e+03,0.21
F12017,SBOA-GPS,6,6.2390780640e+02,0.22
F12017,SBOA-GPS,7,3.1129988853e+03,0.21
F12017,SBOA-GPS,12,5.5432005364e+03,0.21
F12017,SBOA-GPS,13,7.1068833732e+02,0.21
F12017,SBOA-GPS,14,6.9476394699e+02,0.21
F12017,SBOA-GPS,15,4.7114893368e+02,0.21
F12017,SBOA-GPS,16,1.5861709363e+03,0.21
F12017,SBOA-GPS,17,4.1588882561e+02,0.21
F12017,SBOA-GPS,18,8.8871147597e+02,0.22
F12017,SBOA-GPS,19,1.8541119832e+02,0.21
F12017,SBOA-GPS,20,2.3292177673e+03,0.21
F12017,SBOA-GPS,21,3.5873976226e+03,0.21
F12017,SBOA-GPS,22,2.1858958153e+03,0.21
F12017,SBOA-GPS,23,8.2923833192e+02,0.22
F12017,SBOA-GPS,24,1.8595863232e+03,0.21
F12017,SBOA-GPS,25,7.0495506136e+02,0.21
