dataset,method,run,sse,silhouette
wholesale,KMeans++,22,5.3236371198e+02,0.283428
wholesale,KMeans,23,5.2928430539e+02,0.201343
wholesale,KMeans++,23,5.2133786977e+02,0.264849
wholesale,KMeans,24,5.2133786977e+02,0.264849
wholesale,KMeans++,24,5.2938085509e+02,0.203129
wholesale,KMeans,25,5.2126982250e+02,0.259753
wholesale,KMeans++,25,5.2125096861e+02,0.258789
wholesale,KMeans,26,5.3528301787e+02,0.301133
wholesale,KMeans++,26,5.2150698546e+02,0.267564
wholesale,KMeans,27,5.2133582534e+02,0.264115
wholesale,KMeans++,27,5.2149299973e+02,0.267167
wholesale,KMeans,28,5.2134242322e+02,0.263255
wholesale,KMeans++,28,5.3539224762e+02,0.297438
wholesale,KMeans,29,5.2125096861e+02,0.258789
wholesale,KMeans++,29,5.2938085509e+02,0.203129
