outcome,total,quota,value,demo,check
cohort_entry_Q,-0.05913320860370741,-0.05913320860370741,0.0,0.0,0.0
u_rate_y,0.0016176410235156469,-0.010260944392741922,0.0066390549790182945,0.005239530437239274,4.336808689942018e-19
queue_years,0.02625002124974449,-0.00010771551064555027,0.023847644898978837,0.0025100918614112027,-3.469446951953614e-18
V_entrant,0.04050845487731043,2.3229938847761866e-05,0.04102658243388513,-0.0005413574954224617,0.0
quota_share,-0.10510109675266716,-0.01053277379129672,0.00024151997056306946,-0.09480984293193351,0.0
