R,year,rho,u_rate_y,u_rate_p,queue_years,queue_share,cohort_entry_Q,quota_share,theta,f_y,u_q,u_m,v_Q,V_entrant,welfare_pc,L,emp,e_q,e_m,E_q,E_m,w_y,queue_loss,Y
56.3,2025.0,0.038022813688212934,0.17799999999999996,0.04299999999999999,2.4983473846752786,0.3499999999999999,0.1745553891644583,0.12,14.077973087951653,1.8664916618342795,0.4360999999999999,0.8099000000000001,0.1745553891644583,14.290795531023589,0.9306782280754452,33.29999999999999,30.92309999999999,1.071831336974744,4.682168663025258,2.6389406630252545,22.530159336974737,0.9443044315070032,0.5987262009981226,30.923099999999994
56.4,2025.4166666666667,0.03787878787878788,0.17800945657071937,0.04301630738673825,2.500340811087364,0.34964191387134347,0.17424703370282502,0.11963168860098601,14.071957394336033,1.8660928316315266,0.4356769695780887,0.8103892264169466,0.17424703370282502,14.308325369033255,0.9307625968357685,33.4,31.01830328899507,1.069937926245417,4.683995877759546,2.640834073754582,22.623535411235526,0.9442963437019625,0.5981454181560737,31.01830328899507
56.5,2025.8333333333333,0.03773584905660377,0.1780188190493961,0.04303253701292897,2.5023251506080646,0.3492855895601489,0.17394056765385638,0.11926563325036095,14.06597393689304,1.8656960540579848,0.43525585715128845,0.8108758761944842,0.17394056765385638,14.325787022896463,0.9308464150841986,33.49999999999999,31.113506035811604,1.0680561171728025,4.685812149481425,2.642715882827196,22.71692188633018,0.9442882934179271,0.5975672685493523,31.113506035811604
56.599999999999994,2026.25,0.03759398496240602,0.1780280885330056,0.043048689412608754,2.504300465172336,0.34893101364178614,0.17363597370485467,0.11890181327719217,14.060022458171833,1.865301313345911,0.434836649719719,0.8113599700113202,0.17363597370485467,14.34318088978117,0.930929687994701,33.60000000000001,31.20870824189358,1.0661858034508622,4.6876175768180985,2.6445861965491364,22.81031866507548,0.9442802804017173,0.5969917343302884,31.20870824189358
56.699999999999996,2026.6666666666667,0.03745318352059926,0.17803726610316034,0.04306476511531485,2.506266816154232,0.34857817283271825,0.17333323475399323,0.11854020826225356,14.054102703441234,1.8649085938879464,0.43441933440060465,0.8118415283215181,0.17333323475399323,14.360507363775456,0.9310124206782054,33.7,31.30390990869897,1.0643268800683796,4.689412257209499,2.6464451199316192,22.903725651489474,0.9442723044023105,0.596418797811986,31.30390990869897
56.8,2027.0833333333333,0.0373134328358209,0.17804635282636408,0.04308076464612422,2.508224264373209,0.3482270539885813,0.1730323339071154,0.11818079803420749,14.04821442065395,1.8645178802350817,0.43400389842695397,0.8123205713575947,0.1730323339071154,14.377766835917354,0.9310946181835488,33.8,31.39911103769932,1.062479243289305,4.6911962869261465,2.6482927567106938,22.997142750773175,0.9442643651708209,0.5958484414665106,31.39911103769932
56.9,2027.5,0.03717472118959108,0.17805534975426038,0.0430966885256916,2.5101728701003876,0.34787764410230515,0.17273325447459242,0.11782356266585707,14.042357360411922,1.86412915709469,0.4335903291462683,0.8127971191335542,0.17273325447459242,14.39495969422429,0.9311762854983945,33.899999999999984,31.494311630379062,1.0606427906334623,4.692969761086714,2.6501292093665363,23.09056986929235,0.9442564624604771,0.5952806479231159,31.494311630379062
57.0,2027.9166666666667,0.037037037037037035,0.17806425792387756,0.043112537270288326,2.512112693064689,0.3475299303022561,0.1724359799682371,0.11746848247046528,14.03653127593159,1.8637424093285506,0.43317861401925684,0.8132711914478861,0.1724359799682371,14.412086323722226,0.9312574275501432,33.99999999999999,31.589511688235064,1.0588174208575962,4.694732773675261,2.6519545791424024,23.184006914559806,0.944248596026605,0.5947153999664797,31.589511688235064
57.099999999999994,2028.3333333333333,0.036900369003690044,0.17807307835786806,0.0431283113918403,2.5140437924589087,0.34718389985041753,0.17214049409827406,0.11711553799814099,14.030735923010127,1.8633576219509271,0.4327687406185753,0.8137428078865011,0.17214049409827406,14.429147106474442,0.9313380492068233,34.10000000000001,31.68471121277606,1.0570030339367706,4.696485417558153,2.653768966063228,23.27745379521791,0.9442407656266042,0.5941526805349726,31.68471121277606
57.199999999999996,2028.75,0.03676470588235295,0.1780818120647442,0.0431440113979661,2.515966226945732,0.34683954014059926,0.1718467807703641,0.11676471003228987,14.024971059991987,1.862974780126663,0.4323606966275834,0.8142119878256259,0.1718467807703641,14.446142421609991,0.9314181552779651,34.199999999999996,31.779910205522107,1.0551995310460955,4.698227784500695,2.655572468953903,23.370910421021414,0.944232971019932,0.5935924727189518,31.779910205522107
57.3,2029.1666666666667,0.03663003663003663,0.17809046003910942,0.04315963779201526,2.5178800546636326,0.34649683869667275,0.17155482408268183,0.11641597958612832,14.019236447735784,1.8625938691692927,0.4319544698391128,0.8146787504346532,0.17155482408268183,14.463072645351819,0.9314977505154641,34.29999999999998,31.8751086680042,1.0534068145427833,4.69995996518345,2.6573651854572153,23.46437670282075,0.9442252119680788,0.5930347597590694,31.8751086680042
57.4,2029.5833333333333,0.03649635036496351,0.17809902326188193,0.04317519107310473,2.5197853332326927,0.3461557831708439,0.17126460832304627,0.11606932789926008,14.013531849582677,1.8622148745392466,0.4315500481542537,0.8151431146789202,0.17126460832304627,14.479938151044589,0.9315768396144247,34.40000000000002,31.970306601763774,1.0516247879485299,4.701682049218298,2.6591472120514688,23.557852552545476,0.9442174882345541,0.5924795250446072,31.970306601763774
57.5,2030.0,0.03636363636363636,0.17810750270052184,0.043190671736158356,2.5216821197603823,0.3458163613419405,0.1709761179661016,0.11572473643431473,14.007857031323121,1.8618377818419416,0.43114741958116026,0.815605099322493,0.1709761179661016,14.49673930918214,0.9316554272139914,34.500000000000014,32.06550400835201,1.049853355932203,4.703394125164146,2.6609186440677957,23.651337883187864,0.9442097995848625,0.5919267521118361,32.06550400835201
57.599999999999994,2030.4166666666667,0.03623188405797102,0.1781158993092439,0.04320608027194201,2.523570470847224,0.34547856111374525,0.17068933767054903,0.11538218687364374,14.002211761166905,1.8614625768260848,0.4307465722338682,0.8160647229308391,0.17068933767054903,14.513476487434685,0.9317335178981658,34.599999999999994,32.16070088932969,1.048092424292845,4.705096280542448,2.6626795757071537,23.744832608787238,0.944202145786487,0.5913764246423925,32.16070088932969
57.699999999999996,2030.8333333333333,0.03610108303249098,0.17812421402923456,0.04322141716710196,2.5254504425924122,0.345142370513342,0.17040425227642692,0.1150416611160768,13.996595809711335,1.8610892453818493,0.4303474943311314,0.8165220038735106,0.17040425227642692,14.530150050675653,0.9318111161966091,34.69999999999999,32.25589724626661,1.0463418999429723,4.706788601852385,2.664430100057026,23.838336644414234,0.9441945266088699,0.5908285264616818,32.25589724626661
57.8,2031.25,0.03597122302158274,0.17813244778886128,0.04323668290420147,2.527322090599318,0.344807777689493,0.17012084680243972,0.11470314127373478,13.99100894991092,1.8607177735391416,0.42995017419526826,0.8169769603267608,0.17012084680243972,14.54676036100826,0.9318882265854321,34.8,32.35109308074117,1.0446016908921738,4.708471174585798,2.666170309107825,23.931849906155374,0.9441869418233928,0.5902830415372943,32.35109308074117
57.9,2031.6666666666667,0.03584229390681004,0.17814060150387756,0.043251877961756925,2.5291854699809795,0.34447477091104817,0.16983910644333344,0.11436660966889925,13.985450957047671,1.8603481474659094,0.42955460025103187,0.8174296102761114,0.16983910644333344,14.563307777791746,0.9319648534879669,34.899999999999984,32.446288394339824,1.042871706230995,4.710144083241863,2.6679002937690037,24.025372311097964,0.9441793912033594,0.5897399539774537,32.446288394339824
58.0,2032.0833333333333,0.03571428571428571,0.17814867607762658,0.04326700281427499,2.531040635365456,0.34414333856536977,0.1695590165673175,0.11403204883093566,13.979921608701085,1.859980353466418,0.42916076102448525,0.8178799715189008,0.1695590165673175,14.579792657667342,0.9320410012755326,35.000000000000014,32.541483188656926,1.0411518561151076,4.711807411341506,2.6696201438848908,24.118903777315424,0.9441718745239751,0.5891992480294732,32.541483188656926
58.099999999999994,2032.5,0.035587188612099654,0.17815667240123778,0.04328205793228787,2.5328876409011665,0.34381346915679345,0.16928056271353176,0.11369944149327238,13.974420684719547,1.8596143779796204,0.42876864514189944,0.8183280616667651,0.16928056271353176,14.59621535458391,0.9321166742681831,35.09999999999997,32.63667746529402,1.0394420517497565,4.713461241441579,2.671329948250242,24.212444223852444,0.9441643915623312,0.5886609080782427,32.63667746529402
58.199999999999996,2032.9166666666667,0.03546099290780142,0.17816459135382398,0.04329704378239014,2.5347265402621386,0.3434851513051055,0.1690037305895575,0.11336877059042992,13.968947967191136,1.8592502075774786,0.42837824132866364,0.8187738981481043,0.1690037305895575,14.61257621982334,0.9321918767354426,35.20000000000001,32.73187122585984,1.037742205374476,4.715105655148757,2.6730297946255224,24.305993570711085,0.9441569420973843,0.5881249186447324,32.73187122585984
58.3,2033.3333333333333,0.0353356890459364,0.17817243380266978,0.04331196082727359,2.5365573866531497,0.3431583737440484,0.1687285060689725,0.11304001925510491,13.963503240415879,1.8588878289633803,0.427989538408203,0.8192174982104856,0.1687285060689725,14.62887560202562,0.9322666128970296,35.29999999999999,32.827064471969464,1.0360522302480768,4.716740733133235,2.674719769751922,24.399551738836227,0.9441495259099401,0.5875912643845069,32.827064471969464
58.4,2033.75,0.035211267605633804,0.17818020060342063,0.04332680952576297,2.538380232814873,0.342833125319851,0.1684548751889475,0.11271317081530145,13.958086290877745,1.858527228970532,0.4276025253009209,0.8196588789230237,0.1684548751889475,14.645113847213635,0.9323408869235696,35.39999999999999,32.92225720524438,1.0343720406338883,4.718366555142167,2.67639995936611,24.49311865010221,0.9441421427826349,0.5870599300862739,32.92225720524438
58.5,2034.1666666666667,0.03508771929824561,0.17818789260026782,0.043341590332851586,2.5401951310289084,0.3425093949897785,0.16818282414788543,0.1123882087915146,13.952696907216955,1.8581683945603664,0.42721719102314965,0.8200980571787253,0.16818282414788543,14.661291298817693,0.9324147029372936,35.5,33.01744942731185,1.0327015517852616,4.719983200012864,2.6780704482147373,24.58669422729899,0.9441347924999175,0.5865309006704418,33.01744942731185
58.599999999999994,2034.5833333333333,0.034965034965034975,0.1781955106261274,0.04335630369973546,2.542002133122757,0.3421871718207111,0.16791233930310068,0.11206511689396118,13.947334880203519,1.8578113128210305,0.4268335246861141,0.8205350496967777,0.16791233930310068,14.677408297699765,0.9324880650127257,35.599999999999994,33.11264113980467,1.03104067993132,4.721590745685788,2.6797313200686785,24.680278394118886,0.9441274748480334,0.5860041611876989,33.11264113980467
58.699999999999996,2035.0,0.0348432055749129,0.17820305550281912,0.04337095007384859,2.5438012904747445,0.3418664449877388,0.16764340716853815,0.11174387901985854,13.942000002710218,1.8574559709658303,0.42645151549491034,0.8209698730248236,0.16764340716853815,14.693465182177468,0.93256097717736,35.69999999999999,33.2078323443608,1.0293893422629536,4.723189269217313,2.681382657737045,24.773871075143493,0.9441201896150053,0.58547969681761,33.2078323443608
58.8,2035.4166666666667,0.034722222222222224,0.17821052804123974,0.04338552989889708,2.545592654018849,0.3415472037727829,0.16737601441253255,0.11142447925074977,13.936692069686657,1.8571023563317421,0.42607115274749585,0.8214025435411824,0.16737601441253255,14.709462288047773,0.932633443412325,35.80000000000001,33.303023042623096,1.0277474569190597,4.724778846792263,2.683024543080939,24.867472195830832,0.9441129365906178,0.5849574928672301,33.303023042623096
58.9,2035.8333333333333,0.03460207612456748,0.1782179290415346,0.043400043614893316,2.5473762742495154,0.34122943756323904,0.16711014785560502,0.11110690184987544,13.931410878133407,1.8567504563779254,0.42569242583369676,0.8218330774570457,0.16711014785560502,14.72539994861042,0.9327054676530384,35.899999999999984,33.39821323623883,1.0261149429730134,4.726359553736245,2.6846570570269854,24.961081682502584,0.9441057155664,0.5844375347697417,33.39821323623883
