year,R,i_u_rate_y,i_cohort_entry_Q,i_queue_years,i_V_entrant,u_rate_y,cohort_entry_Q
2025.0,56.3,100.0,100.0,100.0,100.0,0.17799999999999996,0.1745553891644583
2025.4166666666667,56.4,100.00531268017946,99.82334807128596,100.07978980122272,100.12266523561695,0.17800945657071937,0.17424703370282502
2025.8333333333333,56.5,100.01057249966075,99.64777855696987,100.15921588635693,100.24485335191392,0.1780188190493961,0.17394056765385638
2026.25,56.599999999999994,100.01578007472227,99.47328153888311,100.23828073443963,100.36656712807806,0.1780280885330056,0.17363597370485467
2026.6666666666667,56.699999999999996,100.02093601301145,99.29984721966181,100.31698680205686,100.48780932174512,0.17803726610316034,0.17333323475399323
2027.0833333333333,56.8,100.02604091368771,99.12746592091295,100.39533652359614,100.60858266920803,0.17804635282636408,0.1730323339071154
2027.5,56.9,100.03109536756203,98.95612808141423,100.47333231149702,100.72888988562305,0.17805534975426038,0.17273325447459242
2027.9166666666667,57.0,100.03609995723461,98.78582425534601,100.55097655649675,100.8487336652136,0.17806425792387756,0.1724359799682371
2028.3333333333333,57.099999999999994,100.04105525722926,98.61654511055569,100.62827162787333,100.96811668147171,0.17807307835786806,0.17214049409827406
2028.75,57.199999999999996,100.04596183412598,98.44828142685284,100.70521987368636,101.08704158735713,0.1780818120647442,0.1718467807703641
2029.1666666666667,57.3,100.0508202466907,98.28102409433518,100.78182362101309,101.20551101549412,0.17809046003910942,0.17155482408268183
2029.5833333333333,57.4,100.05563104600111,98.11476411174472,100.85808517618139,101.32352757836605,0.17809902326188193,0.17126460832304627
2030.0,57.5,100.06039477557408,97.94949258485255,100.9340068250011,101.44109386850768,0.17810750270052184,0.1709761179661016
2030.4166666666667,57.599999999999994,100.06511197148536,97.78520072487315,101.00959083299074,101.55821245869541,0.1781158993092439,0.17068933767054903
2030.8333333333333,57.699999999999996,100.06978316249135,97.62187984690615,101.08483944560241,101.67488590213507,0.17812421402923456,0.17040425227642692
2031.25,57.8,100.07440887014681,97.45952136840613,101.15975488844221,101.79111673264796,0.17813244778886128,0.17012084680243972
2031.6666666666667,57.9,100.07898960892,97.2981168076791,101.23433936748988,101.90690746485431,0.17814060150387756,0.16983910644333344
2032.0833333333333,58.0,100.08352588630709,97.13765778240541,101.30859506931327,102.02226059435513,0.17814867607762658,0.1695590165673175
2032.5,58.099999999999994,100.0880182029426,96.97813600818886,101.38252416128181,102.13717859791144,0.17815667240123778,0.16928056271353176
2032.9166666666667,58.199999999999996,100.09246705271012,96.81954329713058,101.45612879177682,102.2516639336222,0.17816459135382398,0.1690037305895575
2033.3333333333333,58.3,100.09687292284822,96.66187155642844,101.52941109039716,102.36571904109955,0.17817243380266978,0.1687285060689725
2033.75,58.4,100.10123629405656,96.50511278700013,101.60237316816522,102.47934634164251,0.17818020060342063,0.1684548751889475
2034.1666666666667,58.5,100.10555764059993,96.3492590821307,101.67501711772836,102.59254823840844,0.17818789260026782,0.16818282414788543
2034.5833333333333,58.599999999999994,100.10983743040866,96.19430262614301,101.74734501355792,102.70532711658274,0.1781955106261274,0.16791233930310068
2035.0,58.699999999999996,100.1140761251793,96.04023569309109,101.81935891214638,102.8176853435467,0.17820305550281912,0.16764340716853815
2035.4166666666667,58.8,100.11827418047177,95.88705064547638,101.89106085220054,102.92962526904334,0.17821052804123974,0.16737601441253255
2035.8333333333333,58.9,100.12243204580598,95.73473993298555,101.96245285483425,103.04114922534129,0.1782179290415346,0.16711014785560502
2036.25,59.0,100.12655016475631,95.58329609124975,102.03353692375643,103.15225952739732,0.17822525929326619,0.16684579446829748
2036.6666666666667,59.099999999999994,100.13062897504355,95.43271174062554,102.1043150454589,103.26295847301637,0.17823251957557748,0.16658294136904458
2037.0833333333333,59.199999999999996,100.13466890862672,95.28297958499591,102.17478918939953,103.37324834301054,0.17823971065735553,0.16632157582208099
2037.5,59.3,100.1386703917918,95.13409241059202,102.2449613081852,103.48313140135562,0.17824683329738938,0.16606168523538428
2037.9166666666667,59.4,100.1426338452403,94.98604308483472,102.31483333775095,103.59260989534637,0.1782538882445277,0.1658032571586533
2038.3333333333333,59.5,100.14655968417419,94.8388245551954,102.38440719753702,103.70168605575006,0.17826087623783002,0.16554627928131918
2038.75,59.6,100.15044831838202,94.6924298480761,102.45368479066481,103.81036209695787,0.17826779800671996,0.16529073943059092
2039.1666666666667,59.699999999999996,100.15430015232077,94.5468520677086,102.5226680041086,103.91864021713525,0.17827465427113093,0.16503662556953344
2039.5833333333333,59.8,100.15811558519847,94.40208439507131,102.59135870886739,104.02652259837022,0.17828144574165325,0.1647839257951771
2040.0,59.9,100.16189501105386,94.25812008682486,102.65975876013243,104.13401140682004,0.17828817311967582,0.1645326283366596
