MSSBOA vs.,10D (+/=/−),30D (+/=/−),Total (+/=/−)
SBOA,0/24/5,1/21/7,1/45/12
MISBOA,15/8/6,18/7/4,33/15/10
CGSBOA,1/26/2,0/23/6,1/49/8
LTSBOA,2/18/9,0/14/15,2/32/24
TSA,26/3/0,29/0/0,55/3/0
MS-TSA,27/2/0,29/0/0,56/2/0
CPA,16/5/8,19/5/5,35/10/13
I-CPA,17/4/8,21/5/3,38/9/11
