study,algo,problem,dim,run,value
weights,SBOA,W4 (structure)|DL07,0,0,9.3689517147e-01
weights,SBOA,W4 (structure)|DL08,0,0,9.1409663286e-01
weights,RIME,W0 (Ngo)|DL05,0,0,9.0081812449e-01
weights,RIME,W0 (Ngo)|DL06,0,0,8.9168905021e-01
weights,RIME,W0 (Ngo)|DL07,0,0,7.9646384058e-01
weights,RIME,W0 (Ngo)|DL08,0,0,8.6574504270e-01
weights,RIME,W0 (Ngo)|DL01,0,0,8.8157403094e-01
weights,RIME,W0 (Ngo)|DL02,0,0,8.8361866294e-01
weights,RIME,W0 (Ngo)|DL03,0,0,8.0622183921e-01
weights,RIME,W0 (Ngo)|DL04,0,0,8.9854780053e-01
weights,RIME,W1 (equal)|DL05,0,0,8.9819947890e-01
weights,RIME,W1 (equal)|DL06,0,0,8.8132242869e-01
weights,RIME,W1 (equal)|DL07,0,0,8.4815881624e-01
weights,RIME,W1 (equal)|DL08,0,0,8.3459122364e-01
weights,RIME,W1 (equal)|DL01,0,0,8.0952984230e-01
weights,RIME,W1 (equal)|DL02,0,0,8.3822864959e-01
weights,RIME,W1 (equal)|DL03,0,0,8.0031219318e-01
weights,RIME,W1 (equal)|DL04,0,0,8.5056295361e-01
weights,RIME,W2 (balance)|DL01,0,0,9.0812589021e-01
weights,RIME,W2 (balance)|DL02,0,0,8.6364483861e-01
weights,RIME,W2 (balance)|DL03,0,0,9.0796716742e-01
weights,RIME,W2 (balance)|DL04,0,0,9.2749132887e-01
weights,RIME,W2 (balance)|DL05,0,0,8.9079880565e-01
weights,RIME,W2 (balance)|DL06,0,0,8.7559595112e-01
weights,RIME,W2 (balance)|DL07,0,0,9.1310049666e-01
weights,RIME,W2 (balance)|DL08,0,0,8.8328541561e-01
weights,RIME,W3 (overlap)|DL01,0,0,9.0745194492e-01
weights,RIME,W3 (overlap)|DL02,0,0,9.2041029396e-01
weights,RIME,W3 (overlap)|DL03,0,0,9.1439740776e-01
weights,RIME,W3 (overlap)|DL04,0,0,9.0594446724e-01
weights,RIME,W3 (overlap)|DL05,0,0,9.3058657022e-01
weights,RIME,W3 (overlap)|DL06,0,0,8.9132847256e-01
weights,RIME,W3 (overlap)|DL07,0,0,8.6760977366e-01
weights,RIME,W3 (overlap)|DL08,0,0,8.9940524476e-01
weights,RIME,W4 (structure)|DL05,0,0,9.1030303129e-01
weights,RIME,W4 (structure)|DL06,0,0,9.0164945576e-01
weights,RIME,W4 (structure)|DL07,0,0,9.1594524130e-01
weights,RIME,W4 (structure)|DL08,0,0,9.1197653067e-01
weights,RIME,W4 (structure)|DL01,0,0,9.0775188311e-01
weights,RIME,W4 (structure)|DL02,0,0,9.0716411455e-01
weights,RIME,W4 (structure)|DL03,0,0,8.8634531091e-01
weights,RIME,W4 (structure)|DL04,0,0,9.2468137279e-01
weights,LSHADE,W0 (Ngo)|DL01,0,0,9.2151997383e-01
weights,LSHADE,W0 (Ngo)|DL02,0,0,9.0588049387e-01
weights,LSHADE,W0 (Ngo)|DL03,0,0,8.8351458907e-01
weights,LSHADE,W0 (Ngo)|DL04,0,0,9.2346023544e-01
weights,LSHADE,W0 (Ngo)|DL05,0,0,9.3668165759e-01
weights,LSHADE,W0 (Ngo)|DL06,0,0,9.2826118393e-01
weights,LSHADE,W0 (Ngo)|DL07,0,0,9.1215800564e-01
