Test suite,Dim,SBOA,SBOA-GPSI,SBOA-LOBL,SBOA-ACGM,MSSBOA,p-value
CEC2017,10,2.966,2.517,3.345,3.103,3.069,3.700E-01
Average ranking,,2.966,2.517,3.345,3.103,3.069,N/A
Ranking,,2,1,5,4,3,N/A
