study,algo,func,dim,run,error
variants,MSSBOA,F5,10,13,1.1876767993e+01
variants,MSSBOA,F5,10,18,1.0118982500e+01
variants,MSSBOA,F5,10,19,1.4938853443e+01
variants,MSSBOA,F5,10,20,2.1889513651e+01
variants,MSSBOA,F5,10,21,1.9930022271e+01
variants,MSSBOA,F5,10,14,6.9681258255e+00
variants,MSSBOA,F5,10,15,1.0948974118e+01
variants,MSSBOA,F5,10,16,3.0887014197e+00
variants,MSSBOA,F5,10,17,2.2268336685e+01
variants,MSSBOA,F5,10,22,1.3934851008e+01
variants,MSSBOA,F5,10,23,3.9968615486e+00
variants,MSSBOA,F5,10,24,1.2964943153e+01
variants,MSSBOA,F5,10,25,9.9536309061e+00
variants,MSSBOA,F5,10,26,1.1939720728e+01
variants,MSSBOA,F5,10,27,1.5934479098e+01
variants,MSSBOA,F5,10,28,7.9624877788e+00
variants,MSSBOA,F5,10,29,9.9539927629e+00
variants,MSSBOA,F6,10,0,1.0384103467e-02
variants,MSSBOA,F6,10,1,1.2405956669e-01
variants,MSSBOA,F6,10,2,2.9418083086e-01
variants,MSSBOA,F6,10,3,6.0897193302e-01
variants,MSSBOA,F6,10,4,1.6446716691e+00
variants,MSSBOA,F6,10,5,9.9386552203e-01
variants,MSSBOA,F6,10,6,3.9477460511e-01
variants,MSSBOA,F6,10,7,1.8475152954e+00
variants,MSSBOA,F6,10,8,2.1447038457e-01
variants,MSSBOA,F6,10,9,1.2266499889e-01
variants,MSSBOA,F6,10,10,1.1805116741e-01
variants,MSSBOA,F6,10,11,6.7203841616e-02
variants,MSSBOA,F6,10,12,1.0676102158e+00
variants,MSSBOA,F6,10,13,1.3605679482e-01
variants,MSSBOA,F6,10,14,7.2454847143e-01
variants,MSSBOA,F6,10,15,8.3558198775e-01
variants,MSSBOA,F6,10,16,5.6105770068e-01
variants,MSSBOA,F6,10,17,1.3297454209e-01
variants,MSSBOA,F6,10,18,2.9065191544e-01
variants,MSSBOA,F6,10,19,1.4438963153e+00
variants,MSSBOA,F6,10,20,6.5974109075e-02
