Elements n (D = 2n),MSSBOA,SBOA,RIME,LSHADE,GWO,COA,MSSBOA rank,MSSBOA std
8 (D = 16),92.20,92.93,88.56,91.55,92.73,89.60,3,1.21
12 (D = 24),92.91,93.29,89.59,91.55,89.49,89.81,2,0.84
20 (D = 40),89.03,89.21,85.74,87.97,78.44,84.71,2,0.62
30 (D = 60),86.15,86.32,83.50,85.74,70.96,82.41,2,0.74
