Problem,Name,Elements n,Dimension D
DL01,Poster,5,10
DL02,Web banner,5,10
DL03,Business card,4,8
DL04,Magazine page,6,12
DL05,Photo collage,5,10
DL06,Mobile UI,5,10
DL07,Packaging,5,10
DL08,Book cover,4,8
