Variable	Youth	AI	AUG	AUT	OLC	AIGov	LCP	Size	Lev
Youth	1.000								
AI	-0.047***	1.000							
AUG	0.227***	0.689***	1.000						
AUT	-0.267***	0.673***	0.472***	1.000					
OLC	0.076***	-0.009	0.112***	0.002	1.000				
AIGov	0.007	0.188***	0.142***	0.108***	0.003	1.000			
LCP	-0.067***	0.082***	0.030***	0.032***	-0.012**	0.030***	1.000		
Size	0.115***	0.178***	0.194***	0.112***	-0.017***	0.025***	0.011*	1.000	
Lev	-0.064***	0.005	0.010	0.002	0.002	0.010*	-0.001	0.014**	1.000
