x,y,n
0.19112219848341805,20.03873199891689,393
0.49673657809391875,21.124016362683808,392
0.7300983934128124,21.35901973915317,393
0.9344481439943256,21.620383615637003,392
1.1137530516535257,21.532343469532798,393
1.280869216675253,22.07686210063704,392
1.4359182853248913,22.530075320991315,393
1.6001844007015005,22.501159426428416,392
1.7521871156705997,22.89558817089328,393
1.9136629966847936,22.847143032019964,392
2.0787075575912612,22.27081808841325,392
2.24989242038326,22.630550143819498,393
2.4336777069501716,22.400434309257438,392
2.615652627935751,22.13913838172496,393
2.787043012450768,21.976623063274833,392
2.9969993544848177,21.674919318558644,393
3.3277921767842558,22.384148458130177,392
3.6835026436920066,21.336162632254553,393
4.035757327938068,20.2318130412433,392
4.662280343935874,19.03410517350462,393
