Variable	Standardised bias, unmatched (%)	Standardised bias, matched (%)	t	p
Size	48.0	0.2	0.05	0.963
Lev	2.1	-0.1	-0.02	0.988
ROE	0.3	2.2	0.57	0.569
Growth	0.0	2.2	0.56	0.575
Age	3.4	-0.6	-0.14	0.885
Board	0.2	-0.1	-0.03	0.978
Indep	0.6	1.3	0.33	0.738
Dual	0.9	1.9	0.51	0.613
TobinQ	0.5	-1.0	-0.26	0.797
Fixed	7.1	1.3	0.35	0.727
