Construct	PHCD	ANX	LIT	SUP	ADP	AVD
PHCD	0.796	0.545	0.065	0.026	0.078	0.344
ANX	0.545	0.817	0.002	0.189	0.166	0.566
LIT	-0.064	-0.002	0.785	0.005	0.327	0.168
SUP	0.026	-0.190	0.004	0.773	0.211	0.219
ADP	0.079	0.166	0.327	0.212	0.760	0.022
AVD	0.343	0.565	-0.167	-0.219	-0.023	0.746
