	(1)	(2)	(3)	(4)	(5)
ANX	0.149***	0.152***	0.153***	0.174***	0.174***
	(0.037)	(0.031)	(0.030)	(0.034)	(0.030)
ANX²		-0.266***	-0.256***	-0.237***	-0.237***
		(0.027)	(0.026)	(0.025)	(0.020)
LIT			0.278***	0.279***	0.279***
			(0.030)	(0.029)	(0.028)
ANX × LIT			0.138***	0.139***	0.139***
			(0.029)	(0.029)	(0.028)
SUP				0.165***	0.165***
				(0.031)	(0.037)
PHCD				0.009	0.009
				(0.034)	(0.037)
Controls	Yes	Yes	Yes	Yes	Yes
Observations	914	914	914	914	914
R²	0.031	0.130	0.223	0.248	0.248
