	(1)	(2)	(3)	(4)	(5)
ANX	0.472***	0.471***	0.469***	0.417***	0.417***
	(0.029)	(0.029)	(0.028)	(0.033)	(0.030)
ANX²		0.043*			
		(0.023)			
LIT			-0.136***	-0.132***	-0.132***
			(0.028)	(0.028)	(0.023)
ANX × LIT			-0.148***	-0.146***	-0.146***
			(0.029)	(0.029)	(0.029)
SUP				-0.116***	-0.116***
				(0.028)	(0.023)
PHCD				0.071**	0.071*
				(0.036)	(0.036)
Controls	Yes	Yes	Yes	Yes	Yes
Observations	914	914	914	914	914
R²	0.230	0.233	0.269	0.284	0.284
