	(1)	(2)	(3)	(4)	(5)
PHCD	0.480***	0.486***	0.490***	0.487***	0.455***
	(0.028)	(0.029)	(0.028)	(0.027)	(0.024)
SUP			-0.170***	-0.171***	-0.171***
			(0.030)	(0.030)	(0.026)
PHCD × SUP				-0.154***	-0.153***
				(0.028)	(0.025)
Controls	No	Yes	Yes	Yes	Yes
Observations	914	914	914	914	1,247
R²	0.231	0.245	0.273	0.296	0.271
