Quantity	Estimate
Slope at the 1st percentile of ANX (-2.09)	1.162 (t = 10.31)
Slope at the 99th percentile of ANX (2.15)	-0.846 (t = -7.46)
Sasabuchi test of the composite null (p)	< 0.0001
Turning point (SD of ANX)	0.368 (SE 0.081)
95% Fieller interval	[0.221, 0.546]
Respondents beyond the turning point (%)	38.5
Turning point at LIT = −1 SD	0.075 (SE 0.095)
Turning point at LIT = +1 SD	0.661 (SE 0.119)
Displacement of the turning point per SD of literacy	0.293 (SE 0.067)
