,(1),(2),(3)
Treat (Post x Exposure),-0.0153***,-0.0076**,-0.0064**
,(0.0032),(0.0032),(0.0032)
Youth employment share,,0.0648***,
,,(0.0034),
Entry-task share,,,0.0493***
,,,(0.0032)
Observations,"31,015","31,015","31,015"
Within R2,0.0040,0.0197,0.0149
