Variable	(1)	(2)	(3)	(4)	(5)
AIU	0.050***	0.050***	0.051***	-0.126***	-0.439***
	(0.003)	(0.003)	(0.003)	(0.014)	(0.011)
AIUxSpecTrain			0.029***		
			(0.003)		
AIE		-0.005*	-0.004	-0.001	0.060***
		(0.003)	(0.003)	(0.015)	(0.011)
FirmEPU		0.001	0.001	-0.015	-0.062***
		(0.003)	(0.003)	(0.016)	(0.012)
Controls	Yes	Yes	Yes	Yes	Yes
Firm FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
Observations	29,660	29,660	29,660	4,707	29,660
Within R2	0.016	0.016	0.022	0.085	0.092
