Mediator	Buffering effect	Path a	Path b	Direct	Indirect	95% bootstrap CI	Share (%)
Internal redeployment	1.257***	1.472***	0.117***	1.084***	0.172	[0.142, 0.208]	13.7
Workforce churn	1.257***	-3.762***	-0.109***	0.848***	0.408	[0.366, 0.453]	32.5
