component	contribution_pp
Learning-system investment (S2)	4.1
Work redesign (S3)	9.9
Apprenticeship protection (S4)	1.8
AI-mediated knowledge scaffolding (S5)	0.8
Sum of the four interventions applied in isolation	16.6
Joint socio-technical package (S6)	16.1
Interaction (synergy) term	-0.5
