t	A	u	K	Lambda	alpha	rho	x	Phi	dJ_pct	dS_pct	dY_pct	dC_pct	E
0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	-0.0
1	0.093	0.256	0.036	0.035	0.02	0.003	0.997	1.0	-0.5	-0.1	0.3	1.4	-0.04
3	0.433	0.568	0.234	0.19	0.257	0.038	0.957	1.0	-15.0	-1.6	1.2	-2.3	-0.369
5	0.746	0.659	0.421	0.296	0.414	0.068	0.921	0.981	-33.0	-5.3	3.8	-11.5	-0.368
10	0.929	0.69	0.693	0.409	0.465	0.099	0.904	0.872	-35.0	-7.8	5.3	-14.8	-0.297
15	0.94	0.692	0.861	0.463	0.468	0.112	0.903	0.856	-32.6	-8.6	6.3	-15.5	-0.286
20	0.943	0.692	0.993	0.498	0.468	0.121	0.904	0.858	-31.6	-8.5	7.6	-16.2	-0.279
25	0.945	0.692	1.119	0.528	0.469	0.128	0.906	0.864	-30.7	-7.9	9.4	-16.9	-0.274
