var,bias_u,bias_m,reduct,t,p
Size,46.00450071243392,0.5006612919659607,98.91171236680623,0.13255710928516448,0.8945531660101974
Lev,-0.7952221480784947,-0.8805277304080129,-10.727264392175595,-0.23313208442774624,0.815675954247756
ROE,0.04090428622755849,-0.24713522481639086,-504.17928683935367,-0.0654325220061696,0.9478342953497265
Growth,2.2547847109724084,0.8599976429007634,61.858990851065464,0.2276964553966976,0.8198988300919244
Age,4.275539135484962,-1.5997187227495622,62.58439761496626,-0.42354800133311443,0.671927970465213
Board,-0.9344650515910484,1.5819224420670854,-69.28642107841878,0.4188361860576948,0.6753679701253668
Indep,4.954820538488056,0.43305339906293533,91.2599579399685,0.11465697002555637,0.9087252321878936
Dual,-1.2151377832050365,1.6174420087493553,-33.10770441877009,0.42824049024101773,0.6685089352472532
TobinQ,-1.7132999025458875,1.1166259765893407,34.82600594734849,0.29564241131601254,0.7675250919434458
Fixed,1.426614823738437,0.7931737936529357,44.40168569295896,0.21000390270739985,0.8336798922681453
