Quantity	Value
Coefficient without controls	-0.577
R-squared without controls	0.005
Coefficient with controls	-0.622
R-squared with controls	0.026
Assumed maximum R-squared (1.3 × R-squared with controls)	0.034
Bias-adjusted coefficient	-0.639
Relative degree of selection that would set the coefficient to zero	-36.44
