Specification	Coefficient on GenAI	SE	Observations	Within R2
(1) Youth ≤ 35	-1.006***	(0.093)	27,340	0.074
(2) ln(young headcount)	-0.022***	(0.006)	27,340	0.157
(3) Adoption dummy	-1.203***	(0.136)	27,340	0.035
(4) One-year lag	-0.506***	(0.074)	23,942	0.040
(5) Two-way clustering	-0.622***	(0.090)	27,340	0.077
(6) Excluding 2020	-0.627***	(0.058)	24,640	0.082
(7) Winsorised at 5%	-0.623***	(0.060)	27,340	0.071
(8) Balanced panel	-0.607***	(0.139)	3,990	0.082
