Channel	a (X -> M)	b (M -> Y | X)	Indirect a x b	95% CI	Share of total effect	Direct effect
Task routinisation (RTI)	-0.911	0.313	-0.286	[-0.315, -0.254]	45.9%	-0.336
Human-capital upgrading (HCU)	0.551	0.178	0.098	[0.076, 0.120]	-15.8%	-0.720
