ID_HDC_G0,CTR_MN_ISO,CTR_MN_NM,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,UC_NM_SRC,XBRDR,XCTR_NBR,XC_ISO_LST,GCPNT_LAT,GCPNT_LON,AREA,P75,P90,P00,P15,B75,B90,B00,B15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,H75_NBR,H90_NBR,H00_NBR,H75_AREA,H90_AREA,H00_AREA,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,SDG_A2G14,SDG_OS15MX,SDG_LUE9015,E_KG_NM_LST,E_BM_NM_LST,EL_AV_ALS,E_WR_T_90,E_WR_T_00,E_WR_T_14,E_WR_P_90,E_WR_P_00,E_WR_P_14,EX_HW_IDX,GDP90_SM,GDP00_SM,GDP15_SM,INCM_CMI,DEV_CMI,NTL_AV,TT2CC,QA2_1V,EU27_EUROPEAN_TERRITORY
2075.0,BEL,Belgium,Europe,Western Europe,Bredene,Bredene; Oudenburg; Stene; Ostend,GISCO OSM,0.0,1.0,BEL,51.2237395196,2.93516521251,33.0,71899.7402649,69706.0388794,70076.8765869,73742.5316162,12.0803537369,15.1780748367,17.1295585632,17.7383670807,168.016653362,217.744044573,244.439526953,240.544590644,1.0,1.0,1.0,27.0,31.0,33.0,0.354460796610153,0.404753736832139,0.39917743499035,8.5407648326,15.4284194578,9.0150076426,32.9841919331,9.8642492289,18.1410410475,4.9789016566,32.9841919331,13.6836023154,13.067397586,6.2331920316,32.9841919331,0.281571106862,46.24,2.7691,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,3.2126729162,11.0385782719,11.4666936398,11.3400104046,704.275009155,902.150009155,833.125015259,5.461979866,829866048.0,993184192.0,1193641472.0,HIC,MDR,32.014233835,66.88649930979462,1.0,1
2171.0,BEL,Belgium,Europe,Western Europe,Leuven,Leuven,GISCO OSM,0.0,1.0,BEL,50.885496031,4.70778026852,26.0,56792.4590759,57574.1965942,57974.446228,63845.8085938,15.1993942261,16.5927791595,17.858745575,18.4625720978,267.630500129,288.198188443,308.045125687,289.174379719,0.0,0.0,1.0,0.0,0.0,22.0,0.37661661774289,0.430628049586247,0.477473138420185,5.5913951787,20.3464713196,0.0,25.9378664983,13.3734687801,12.5643977181,0.0,25.9378664983,15.2969200529,10.6409464453,0.0,25.9378664983,0.466570908351,58.83,1.0327,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,32.8437845293,10.7662761211,11.1581707001,11.1008069515,771.0,939.250015259,822.425018311,3.7929599290000002,1142879872.0,1439908352.0,1776393728.0,HIC,MDR,22.518879817,7.957942516893685,1.0,1
2087.0,BEL,Belgium,Europe,Western Europe,Bruges,Bruges,GISCO OSM,0.0,1.0,BEL,51.2062405424,3.22055780357,30.0,81153.7540283,68768.6547852,64642.4790649,63030.5891113,18.7324790955,19.3167648315,21.5809173584,21.9751625061,230.82701866,280.894906144,333.850397921,348.64282273,1.0,1.0,1.0,29.0,30.0,30.0,0.369180181669069,0.417013124633531,0.456199108985322,5.8257462137000005,23.5272917319,0.6271451875,29.9801831331,9.9024542581,20.077728875,0.0,29.9801831331,16.1303149086,13.8498682245,0.0,29.9801831331,0.363722905072,53.77,-1.4799,"Mild temperate, fully humid, and  Warm summer",Temperate Broadleaf and Mixed Forests,7.35807041108,10.8232240677,11.2805058956,11.1706831455,718.125015259,897.474990845,832.975021362,5.461979866,823199232.0,985205504.0,1033744512.0,HIC,MDR,24.341089471,54.32300208607338,1.0,1
3381.0,BGR,Bulgaria,Europe,Eastern Europe,Sofia,Sofia,GISCO OSM,0.0,1.0,BGR,42.6853583853,23.3253419636,205.0,562391.259228,750327.187376,815894.123125,926881.288761,62.1048851013,75.0163421631,85.2107620239,92.3943481445,110.430032619,99.9781740889,104.438504469,99.6830438427,1.0,1.0,1.0,156.0,173.0,201.0,0.322796653291236,0.381653760663631,0.428228972994228,42.5629553995,160.199230198,2.20369125,204.965876847,58.1704348826,146.795441964,0.0,204.965876847,91.810515252,113.155361595,0.0,204.965876847,0.19576605548099998,54.93,0.98601,"Mild temperate, fully humid, and  Hot summer",Temperate Broadleaf and Mixed Forests,584.956694549,9.4435095787,10.3375110626,10.8160948753,572.175018311,569.675003052,697.324996948,7.433939934,4967243264.0,7271463424.0,23695583232.0,UMIC,MDR,29.805176892,0.0,1.0,1
3427.0,BGR,Bulgaria,Europe,Eastern Europe,Plovdiv,Plovdiv,GISCO OSM,0.0,1.0,BGR,42.1399964825,24.7528139256,54.0,337030.196594,361651.718497,336965.629517,309003.806747,17.7155895233,22.9213581085,25.252286911,26.3450679779,52.5638049716,63.3796465941,74.9402452328,85.2580693268,1.0,1.0,1.0,46.0,47.0,50.0,0.217189012484582,0.372716841823515,0.404609905506222,0.5087837066,41.1699737949,11.8997486137,53.5785061152,11.97283526,41.6056708551,0.0,53.5785061152,21.5451596172,32.033346498,0.0,53.5785061152,0.122592674565,51.2,-0.88485,"Mild temperate, fully humid, and  Hot summer",Temperate Broadleaf and Mixed Forests,164.755038492,11.749409914,12.6846442223,13.1084759235,479.950012207,507.474998474,650.150009155,10.80529976,1698131968.0,1388597376.0,2375918080.0,UMIC,MDR,29.504988246,88.20725722786585,1.0,1
3516.0,BGR,Bulgaria,Europe,Eastern Europe,Varna,Varna,GISCO OSM,0.0,1.0,BGR,43.2248412278,27.9287363516,83.0,228274.585136,275211.981804,277582.875679,283834.782539,31.1829509735,32.4040565491,34.7929992676,37.43699646,136.602815223,117.742172186,125.342743793,131.897141446,1.0,1.0,1.0,60.0,67.0,69.0,0.259780594214026,0.378302310905213,0.408365299768912,2.6776230245,60.8526749748,18.8052581806,73.7077391358,29.1238232566,45.1061258061,8.1056071172,82.3355561799,37.3035244613,35.6755085495,9.3565231691,82.3355561799,0.253001277671,54.89,4.6798,"Mild temperate, fully humid, and  Hot summer",Temperate Broadleaf and Mixed Forests,62.3229919142,11.7933425903,12.7247819901,13.1214094162,472.850021362,497.800003052,644.650009155,7.130340099,1416178048.0,1555598080.0,2732498432.0,UMIC,MDR,23.439485576,361.81249712591773,1.0,1
3448.0,BGR,Bulgaria,Europe,Eastern Europe,Ruse,Ruse,GISCO OSM,1.0,2.0,BGR; ROU,43.8681602383,25.9692727566,55.0,195355.930389,201013.850056,175406.234489,141675.343006,20.2333927155,28.3345413208,29.6653594971,30.4782886505,103.571940074,140.95815444,169.123746276,215.127685621,1.0,1.0,1.0,54.0,55.0,55.0,0.306980426677861,0.403530695419699,0.458310868054456,3.4498103113000003,45.1944173044,6.1451899005,54.7894175162,18.1881858135,34.0351687517,2.566062951,54.7894175162,29.8844763929,23.4183375326,1.4866035907000001,54.7894175162,0.355993702714,54.34,-0.20848,"Mild temperate, fully humid, and  Hot summer",Temperate Broadleaf and Mixed Forests,35.7759001804,11.6273596287,12.5126514435,13.0371146202,527.75,546.375,683.000015259,11.76249981,680103744.0,539953472.0,802034560.0,UMIC,MDR,14.999625733,314.59276311922275,1.0,1
3503.0,BGR,Bulgaria,Europe,Eastern Europe,Burgas,Burgas,GISCO OSM,0.0,1.0,BGR,42.4973829484,27.4461989543,45.0,112312.538501,123485.334605,117567.54352,111381.173001,18.0941390991,19.0875835419,19.4431476593,20.0559253693,161.1052456,154.57368766,165.378531159,180.065668452,1.0,1.0,1.0,37.0,44.0,44.0,0.211173941268184,0.343002430878035,0.375126712186431,0.0,24.2367171561,20.2582217343,35.5410840816,5.0986145032,29.2202692936,10.1760550936,44.4949388904,11.0230730098,23.4226484882,10.0492173924,44.4949388904,0.140754175573,55.42,-0.47969,"Mild temperate, fully humid, and  Hot summer",Temperate Broadleaf and Mixed Forests,10.8800366045,12.3745815754,13.3649761677,13.6709890366,530.000007629,547.150009155,710.875015259,5.797329903,843892928.0,769710528.0,964271936.0,UMIC,MDR,16.931625324,239.24121854774324,1.0,1
3451.0,BGR,Bulgaria,Europe,Eastern Europe,Stara Zagora,Stara Zagora,GISCO OSM,0.0,1.0,BGR,42.4201027275,25.628799084,21.0,93726.6676025,91757.65625,77560.9121094,62441.0780029,11.7190198898,12.3406476974,12.964425087,13.4604921341,125.033997149,134.491749264,167.15152948,215.571104225,1.0,1.0,1.0,20.0,20.0,21.0,0.273209395612255,0.374865211134791,0.418974256656838,0.7464950392,18.5448624407,2.120916636,21.4122741159,9.344555199,12.0677189169,0.0,21.4122741159,12.20278696,9.2094871559,0.0,21.4122741159,0.236603717497,58.11,-0.22565,"Mild temperate, fully humid, and  Hot summer",Temperate Broadleaf and Mixed Forests,222.050538988,12.1229152679,13.0513288975,13.4172954559,503.825004578,525.975006104,684.625015259,9.325240135,365439968.0,383740576.0,581821696.0,UMIC,MDR,25.168286891,144.3275505215902,1.0,1
3414.0,BGR,Bulgaria,Europe,Eastern Europe,Pleven,Pleven,GISCO OSM,0.0,1.0,BGR,43.4179947685,24.6135364276,20.0,98796.5032959,88956.5966797,73398.0286865,56798.6202393,9.78632068634,10.5000896454,10.9211969376,11.2863149643,99.0553345499,118.036098921,148.794145197,198.707555162,1.0,1.0,1.0,20.0,20.0,20.0,0.296509453457042,0.415464973413122,0.477536273639207,0.20224571,19.9342804282,0.0,20.1365261382,7.3715001105,12.7650260277,0.0,20.1365261382,12.0498117255,8.0867144127,0.0,20.1365261382,0.386198794752,60.25,-0.16095,"Mild temperate, fully humid, and  Hot summer",Temperate Broadleaf and Mixed Forests,118.845399643,11.1639003754,12.0847635269,12.6088945866,518.775001526,539.350013733,674.325027466,7.823329926,356675776.0,275081760.0,265512480.0,UMIC,MDR,20.348996794,131.66735042306712,1.0,1
