country_name,country_iso3,year,jja_temperature_C,jja_anomaly_C,jun_temperature_C,jul_temperature_C,aug_temperature_C
Austria,AUT,1837,15.093,0.253,14.309,13.974,16.995
Austria,AUT,1838,13.679,-1.161,13.621,14.44,12.975
Austria,AUT,1839,15.444,0.604,16.158,16.792,13.383
Austria,AUT,1840,13.828,-1.012,13.448,14.091,13.946
Austria,AUT,1841,14.123,-0.717,13.157,14.801,14.411
Austria,AUT,1842,15.637,0.797,14.492,15.544,16.876
Austria,AUT,1843,13.702,-1.138,11.83,14.325,14.95
Austria,AUT,1844,13.77,-1.07,14.622,13.885,12.802
Austria,AUT,1845,14.706,-0.134,15.335,15.89,12.892
Austria,AUT,1846,16.618,1.778,15.928,17.413,16.512
Austria,AUT,1847,14.294,-0.546,11.553,15.825,15.505
Austria,AUT,1848,15.414,0.574,15.648,15.621,14.974
Austria,AUT,1849,14.497,-0.343,15.317,14.964,13.21
Austria,AUT,1850,14.661,-0.179,14.223,14.562,15.199
Austria,AUT,1851,13.95,-0.89,13.48,14.064,14.305
Austria,AUT,1852,15.248,0.408,14.379,16.442,14.922
Austria,AUT,1853,15.195,0.355,13.801,16.499,15.286
Austria,AUT,1854,14.227,-0.613,13.027,15.796,13.858
Austria,AUT,1855,15.26,0.42,14.382,15.573,15.826
Austria,AUT,1856,15.1,0.26,15.279,13.843,16.177
Austria,AUT,1857,15.655,0.815,13.916,16.829,16.221
Austria,AUT,1858,15.091,0.251,16.282,15.055,13.936
Austria,AUT,1859,16.853,2.013,14.236,18.945,17.378
Austria,AUT,1860,14.012,-0.828,14.386,13.212,14.439
Austria,AUT,1861,16.268,1.428,15.453,15.981,17.369
Austria,AUT,1862,14.93,0.09,13.822,16.345,14.624
Austria,AUT,1863,15.346,0.506,14.158,14.966,16.914
Austria,AUT,1864,13.736,-1.104,13.755,14.353,13.099
Austria,AUT,1865,15.245,0.405,12.846,18.021,14.867
Austria,AUT,1866,14.76,-0.08,15.912,15.033,13.334
Austria,AUT,1867,14.792,-0.048,13.949,14.779,15.648
Austria,AUT,1868,15.822,0.982,15.479,16.043,15.945
Austria,AUT,1869,14.43,-0.41,11.998,17.305,13.987
Austria,AUT,1870,14.747,-0.093,13.985,16.892,13.363
Austria,AUT,1871,14.384,-0.456,11.56,16.359,15.232
Austria,AUT,1872,14.562,-0.278,13.452,16.191,14.043
Austria,AUT,1873,15.947,1.107,13.715,17.415,16.712
Austria,AUT,1874,15.366,0.526,14.371,18.016,13.711
Austria,AUT,1875,15.87,1.03,16.045,15.427,16.137
Austria,AUT,1876,15.23,0.39,14.485,15.758,15.446
Austria,AUT,1877,16.033,1.193,16.062,15.279,16.759
Austria,AUT,1878,14.598,-0.242,14.009,14.599,15.186
Austria,AUT,1879,14.848,0.008,14.932,13.34,16.272
Austria,AUT,1880,14.647,-0.193,13.187,16.942,13.811
Austria,AUT,1881,15.346,0.506,13.362,17.198,15.477
Austria,AUT,1882,13.607,-1.233,12.478,15.217,13.127
Austria,AUT,1883,14.554,-0.286,14.159,15.055,14.448
Austria,AUT,1884,13.948,-0.892,11.057,16.191,14.596
Austria,AUT,1885,15.305,0.465,15.373,16.463,14.079
Austria,AUT,1886,14.528,-0.312,12.753,15.768,15.064
Austria,AUT,1887,15.404,0.564,13.876,17.688,14.649
Austria,AUT,1888,14.136,-0.704,14.582,13.687,14.14
Austria,AUT,1889,15.036,0.196,16.029,15.147,13.932
Austria,AUT,1890,14.517,-0.323,12.428,14.804,16.32
Austria,AUT,1891,14.211,-0.629,13.822,15.021,13.791
Austria,AUT,1892,15.218,0.378,14.067,14.832,16.756
Austria,AUT,1893,14.766,-0.074,13.483,15.671,15.144
Austria,AUT,1894,14.543,-0.297,12.683,16.57,14.377
Austria,AUT,1895,15.08,0.24,14.034,16.723,14.482
Austria,AUT,1896,14.221,-0.619,14.138,15.842,12.683
Austria,AUT,1897,15.292,0.452,14.942,15.666,15.269
Austria,AUT,1898,14.44,-0.4,13.144,14.078,16.098
Austria,AUT,1899,14.592,-0.248,13.152,15.457,15.168
Austria,AUT,1900,15.325,0.485,14.467,16.994,14.514
Austria,AUT,1901,15.222,0.382,14.684,16.215,14.768
Austria,AUT,1902,14.072,-0.768,12.763,15.032,14.42
Austria,AUT,1903,14.211,-0.629,13.19,14.8,14.644
Austria,AUT,1904,15.774,0.934,14.516,17.395,15.411
Austria,AUT,1905,15.957,1.117,14.725,17.598,15.549
Austria,AUT,1906,14.486,-0.354,12.84,15.71,14.909
Austria,AUT,1907,14.354,-0.486,14.021,13.871,15.171
Austria,AUT,1908,14.799,-0.041,15.622,15.412,13.363
Austria,AUT,1909,13.961,-0.879,13.031,13.949,14.903
Austria,AUT,1910,14.231,-0.609,14.431,13.922,14.339
Austria,AUT,1911,15.761,0.921,13.322,17.267,16.695
Austria,AUT,1912,14.143,-0.697,14.345,15.396,12.688
Austria,AUT,1913,13.008,-1.832,13.391,12.451,13.183
Austria,AUT,1914,14.055,-0.785,12.673,14.46,15.033
Austria,AUT,1915,14.606,-0.234,15.642,14.895,13.282
Austria,AUT,1916,13.833,-1.007,12.19,15.003,14.306
Austria,AUT,1917,15.847,1.007,16.2,15.924,15.417
Austria,AUT,1918,13.474,-1.366,11.459,14.806,14.158
Austria,AUT,1919,13.829,-1.011,13.363,12.948,15.176
Austria,AUT,1920,14.108,-0.732,12.89,15.973,13.462
Austria,AUT,1921,15.349,0.509,13.015,17.195,15.837
Austria,AUT,1922,14.789,-0.051,14.492,14.946,14.929
Austria,AUT,1923,14.256,-0.584,10.604,16.847,15.316
Austria,AUT,1924,13.866,-0.974,13.64,15.362,12.597
Austria,AUT,1925,14.416,-0.424,13.324,15.364,14.561
Austria,AUT,1926,13.619,-1.221,11.887,14.8,14.169
Austria,AUT,1927,15.326,0.486,14.659,16.218,15.102
Austria,AUT,1928,15.938,1.098,13.535,18.161,16.117
Austria,AUT,1929,15.463,0.623,14.074,16.47,15.846
Austria,AUT,1930,15.373,0.533,16.578,15.192,14.348
Austria,AUT,1931,15.275,0.435,15.826,15.941,14.058
Austria,AUT,1932,15.527,0.687,12.93,16.472,17.179
Austria,AUT,1933,14.324,-0.516,11.688,15.963,15.321
Austria,AUT,1934,15.066,0.226,13.777,16.563,14.858
Austria,AUT,1935,15.676,0.836,16.054,16.22,14.753
Austria,AUT,1936,14.64,-0.2,13.79,15.975,14.156
Austria,AUT,1937,15.236,0.396,15.33,15.69,14.688
Austria,AUT,1938,15.447,0.607,15.511,15.678,15.153
Austria,AUT,1939,15.237,0.397,14.458,15.684,15.569
Austria,AUT,1940,13.889,-0.951,13.935,14.803,12.928
Austria,AUT,1941,14.721,-0.119,14.271,15.854,14.038
Austria,AUT,1942,14.793,-0.047,13.797,14.977,15.604
Austria,AUT,1943,15.078,0.238,12.618,15.529,17.087
Austria,AUT,1944,15.237,0.397,12.73,15.388,17.593
Austria,AUT,1945,15.801,0.961,15.378,16.862,15.163
Austria,AUT,1946,15.715,0.875,14.206,16.978,15.962
Austria,AUT,1947,16.456,1.616,15.73,17.338,16.299
Austria,AUT,1948,14.066,-0.774,13.108,13.822,15.268
Austria,AUT,1949,14.469,-0.371,12.835,15.737,14.835
Austria,AUT,1950,16.823,1.983,16.355,17.843,16.27
Austria,AUT,1951,15.437,0.597,14.246,15.751,16.313
Austria,AUT,1952,16.397,1.557,14.586,17.64,16.964
Austria,AUT,1953,15.075,0.235,14.23,16.549,14.446
Austria,AUT,1954,14.339,-0.501,14.924,13.49,14.604
Austria,AUT,1955,14.433,-0.407,13.381,15.53,14.387
Austria,AUT,1956,14.297,-0.543,12.244,15.971,14.676
Austria,AUT,1957,15.212,0.372,15.652,16.029,13.955
Austria,AUT,1958,15.133,0.293,13.378,16.238,15.784
Austria,AUT,1959,15.148,0.308,13.753,16.766,14.924
Austria,AUT,1960,14.545,-0.295,14.609,14.044,14.983
Austria,AUT,1961,14.765,-0.075,14.972,14.31,15.014
Austria,AUT,1962,14.234,-0.606,12.191,14.209,16.303
Austria,AUT,1963,15.56,0.72,14.726,16.717,15.237
Austria,AUT,1964,15.561,0.721,15.94,16.333,14.409
Austria,AUT,1965,14.145,-0.695,14.171,14.688,13.575
Austria,AUT,1966,14.398,-0.442,14.848,14.444,13.903
Austria,AUT,1967,15.359,0.519,13.477,17.314,15.287
Austria,AUT,1968,14.47,-0.37,14.354,14.964,14.092
Austria,AUT,1969,14.344,-0.496,12.765,16.254,14.014
Austria,AUT,1970,15.24,0.4,15.144,15.253,15.323
Austria,AUT,1971,15.373,0.533,12.862,16.31,16.948
Austria,AUT,1972,14.825,-0.015,14.012,15.658,14.804
Austria,AUT,1973,15.303,0.463,14.29,15.336,16.284
Austria,AUT,1974,14.603,-0.237,12.212,14.917,16.681
Austria,AUT,1975,14.733,-0.107,12.781,15.871,15.547
Austria,AUT,1976,14.869,0.029,14.879,16.761,12.968
Austria,AUT,1977,14.767,-0.073,14.506,15.358,14.436
Austria,AUT,1978,13.7,-1.14,13.138,14.13,13.831
Austria,AUT,1979,14.585,-0.255,15.473,14.078,14.203
Austria,AUT,1980,14.349,-0.491,13.154,14.086,15.807
Austria,AUT,1981,14.995,0.155,14.649,14.916,15.421
Austria,AUT,1982,15.92,1.08,15.009,17.01,15.74
Austria,AUT,1983,16.464,1.624,14.376,18.961,16.054
Austria,AUT,1984,14.235,-0.605,13.121,14.717,14.866
Austria,AUT,1985,14.901,0.061,12.404,16.696,15.602
Austria,AUT,1986,15.005,0.165,13.852,15.293,15.871
Austria,AUT,1987,14.975,0.135,13.552,16.811,14.562
Austria,AUT,1988,15.508,0.668,13.623,16.886,16.016
Austria,AUT,1989,14.802,-0.038,12.68,16.174,15.551
Austria,AUT,1990,15.246,0.406,13.833,15.54,16.364
Austria,AUT,1991,15.665,0.825,13.51,17.182,16.303
Austria,AUT,1992,17.33,2.49,14.986,17.328,19.677
Austria,AUT,1993,15.284,0.444,14.769,15.102,15.982
Austria,AUT,1994,17.214,2.374,15.142,18.933,17.567
Austria,AUT,1995,15.616,0.776,12.926,18.637,15.285
Austria,AUT,1996,15.136,0.296,15.429,14.831,15.147
Austria,AUT,1997,15.447,0.607,14.75,15.107,16.483
Austria,AUT,1998,16.207,1.367,15.628,16.436,16.558
Austria,AUT,1999,15.588,0.748,14.229,16.858,15.677
Austria,AUT,2000,16.099,1.259,16.215,14.655,17.426
Austria,AUT,2001,15.933,1.093,13.332,16.834,17.632
Austria,AUT,2002,16.787,1.947,16.854,17.1,16.407
Austria,AUT,2003,18.679,3.839,18.81,17.595,19.633
Austria,AUT,2004,15.572,0.732,14.084,15.953,16.678
Austria,AUT,2005,15.358,0.518,15.225,16.404,14.444
Austria,AUT,2006,16.136,1.296,15.325,19.386,13.697
Austria,AUT,2007,16.54,1.7,16.497,17.147,15.975
Austria,AUT,2008,16.331,1.491,16.121,16.447,16.425
Austria,AUT,2009,16.242,1.402,14.043,17.097,17.585
Austria,AUT,2010,16.514,1.674,15.334,18.445,15.762
Austria,AUT,2011,16.181,1.341,15.46,15.49,17.593
Austria,AUT,2012,17.148,2.308,16.341,17.247,17.855
Austria,AUT,2013,16.914,2.074,14.723,18.638,17.38
Austria,AUT,2014,15.805,0.965,15.381,17.085,14.948
Austria,AUT,2015,18.166,3.326,15.884,19.585,19.03
Austria,AUT,2016,16.62,1.78,15.738,17.77,16.351
Austria,AUT,2017,17.733,2.893,17.57,17.557,18.072
Austria,AUT,2018,17.642,2.802,16.296,17.92,18.709
Austria,AUT,2019,18.471,3.631,19.144,18.268,18.001
Austria,AUT,2020,16.674,1.834,15.055,17.091,17.877
Belgium,BEL,1750,16.891,0.385,15.6,18.237,16.837
Belgium,BEL,1751,16.534,0.027,15.348,17.22,17.034
Belgium,BEL,1752,16.918,0.412,17.019,17.278,16.458
Belgium,BEL,1753,16.702,0.195,17.023,17.449,15.634
Belgium,BEL,1754,16.17,-0.337,15.524,15.959,17.026
Belgium,BEL,1755,16.87,0.364,17.93,17.262,15.419
Belgium,BEL,1756,17.122,0.616,17.234,17.926,16.207
Belgium,BEL,1757,18.127,1.62,16.612,20.301,17.468
Belgium,BEL,1758,16.15,-0.357,16.429,14.988,17.033
Belgium,BEL,1759,17.497,0.99,16.095,19.271,17.125
Belgium,BEL,1760,16.5,-0.007,16.405,17.096,15.999
Belgium,BEL,1761,17.131,0.625,16.394,17.07,17.93
Belgium,BEL,1762,16.323,-0.183,15.704,17.942,15.324
Belgium,BEL,1763,16.402,-0.105,15.217,16.705,17.284
Belgium,BEL,1764,16.193,-0.314,15.068,17.968,15.542
Belgium,BEL,1765,16.162,-0.345,16.077,15.555,16.854
Belgium,BEL,1766,16.388,-0.119,15.537,16.563,17.064
Belgium,BEL,1767,15.677,-0.829,14.008,16.142,16.882
Belgium,BEL,1768,16.29,-0.216,15.12,16.982,16.769
Belgium,BEL,1769,15.677,-0.829,14.065,16.958,16.009
Belgium,BEL,1770,15.923,-0.583,14.394,16.04,17.336
Belgium,BEL,1771,15.71,-0.797,14.819,16.864,15.447
Belgium,BEL,1772,17.025,0.518,16.981,17.161,16.932
Belgium,BEL,1773,16.331,-0.176,15.29,16.384,17.318
Belgium,BEL,1774,16.81,0.304,16.109,16.749,17.573
Belgium,BEL,1775,17.541,1.034,17.68,17.814,17.128
Belgium,BEL,1776,16.986,0.479,15.949,18.066,16.943
Belgium,BEL,1777,16.216,-0.29,14.787,16.35,17.512
Belgium,BEL,1778,17.827,1.32,15.998,19.427,18.055
Belgium,BEL,1779,17.15,0.643,14.855,18.125,18.47
Belgium,BEL,1780,17.437,0.93,15.625,17.683,19.002
Belgium,BEL,1781,18.18,1.673,17.545,18.376,18.618
Belgium,BEL,1782,17.09,0.583,16.986,18.184,16.1
Belgium,BEL,1783,17.957,1.45,16.473,20.052,17.346
Belgium,BEL,1784,16.209,-0.297,16.202,17.137,15.289
Belgium,BEL,1785,16.131,-0.376,15.719,17.149,15.524
Belgium,BEL,1786,16.233,-0.273,16.986,15.669,16.045
Belgium,BEL,1787,16.489,-0.018,15.965,16.471,17.031
Belgium,BEL,1788,17.297,0.79,16.762,18.585,16.543
Belgium,BEL,1789,16.191,-0.315,14.346,17.036,17.192
Belgium,BEL,1790,16.234,-0.272,15.989,15.765,16.949
Belgium,BEL,1791,16.853,0.347,15.538,16.91,18.112
Belgium,BEL,1792,16.92,0.413,15.013,17.593,18.154
Belgium,BEL,1793,17.468,0.962,14.487,19.861,18.057
Belgium,BEL,1794,17.862,1.355,16.546,20.313,16.726
Belgium,BEL,1795,16.461,-0.046,16.165,15.534,17.683
Belgium,BEL,1796,16.492,-0.014,15.272,16.584,17.621
Belgium,BEL,1797,17.14,0.633,14.181,19.568,17.671
Belgium,BEL,1798,17.46,0.953,17.165,17.368,17.847
Belgium,BEL,1799,15.841,-0.666,14.672,16.361,16.489
Belgium,BEL,1800,16.567,0.06,13.72,17.482,18.499
Belgium,BEL,1801,16.088,-0.419,14.333,16.55,17.38
Belgium,BEL,1802,16.722,0.216,15.858,15.364,18.945
Belgium,BEL,1803,17.121,0.614,14.737,18.888,17.737
Belgium,BEL,1804,16.447,-0.06,16.248,16.763,16.329
Belgium,BEL,1805,15.069,-1.437,13.601,15.577,16.03
Belgium,BEL,1806,16.181,-0.326,15.174,16.609,16.76
Belgium,BEL,1807,18.08,1.573,14.979,19.282,19.978
Belgium,BEL,1808,17.457,0.95,14.699,19.407,18.264
Belgium,BEL,1809,15.806,-0.701,14.491,16.307,16.619
Belgium,BEL,1810,15.675,-0.831,14.468,16.177,16.381
Belgium,BEL,1811,17.333,0.826,17.28,18.164,16.554
Belgium,BEL,1812,15.402,-1.105,14.745,15.431,16.03
Belgium,BEL,1813,15.529,-0.978,14.636,16.183,15.768
Belgium,BEL,1814,15.879,-0.628,13.763,17.857,16.016
Belgium,BEL,1815,15.693,-0.814,15.374,15.675,16.03
Belgium,BEL,1816,14.066,-2.44,13.13,14.761,14.308
Belgium,BEL,1817,15.847,-0.66,16.608,15.695,15.238
Belgium,BEL,1818,17.483,0.976,17.369,18.61,16.47
Belgium,BEL,1819,17.398,0.891,15.731,18.332,18.13
Belgium,BEL,1820,16.008,-0.499,14.044,16.591,17.388
Belgium,BEL,1821,15.087,-1.42,13.11,15.052,17.099
Belgium,BEL,1822,17.445,0.938,18.614,17.18,16.541
Belgium,BEL,1823,15.506,-1.001,13.607,15.735,17.175
Belgium,BEL,1824,16.128,-0.379,14.809,16.948,16.627
Belgium,BEL,1825,16.744,0.237,15.452,17.807,16.973
Belgium,BEL,1826,18.368,1.861,16.718,19.111,19.274
Belgium,BEL,1827,16.437,-0.07,15.404,17.703,16.203
Belgium,BEL,1828,16.512,0.005,16.382,17.545,15.609
Belgium,BEL,1829,15.991,-0.516,15.677,16.923,15.372
Belgium,BEL,1830,16.149,-0.358,14.582,17.878,15.986
Belgium,BEL,1831,16.836,0.329,15.347,17.784,17.377
Belgium,BEL,1832,16.379,-0.128,15.267,16.492,17.378
Belgium,BEL,1833,15.801,-0.706,16.756,16.331,14.316
Belgium,BEL,1834,18.39,1.883,16.721,19.814,18.634
Belgium,BEL,1835,17.272,0.766,16.104,18.397,17.316
Belgium,BEL,1836,16.721,0.214,16.395,17.261,16.507
Belgium,BEL,1837,16.948,0.441,16.226,16.577,18.04
Belgium,BEL,1838,15.904,-0.603,15.203,16.917,15.592
Belgium,BEL,1839,16.749,0.242,17.192,17.483,15.572
Belgium,BEL,1840,15.993,-0.513,15.647,15.305,17.028
Belgium,BEL,1841,14.995,-1.512,14.053,14.604,16.328
Belgium,BEL,1842,17.785,1.279,16.881,16.38,20.095
Belgium,BEL,1843,15.861,-0.646,13.874,16.166,17.542
Belgium,BEL,1844,15.182,-1.325,15.782,15.474,14.29
Belgium,BEL,1845,15.975,-0.532,16.533,16.82,14.572
Belgium,BEL,1846,19.065,2.558,18.886,18.993,19.316
Belgium,BEL,1847,16.916,0.409,14.233,18.709,17.805
Belgium,BEL,1848,16.299,-0.208,16.125,17.066,15.705
Belgium,BEL,1849,16.176,-0.331,16.155,16.515,15.857
Belgium,BEL,1850,16.354,-0.152,16.369,16.822,15.872
Belgium,BEL,1851,16.416,-0.091,15.832,16.261,17.155
Belgium,BEL,1852,17.449,0.942,14.836,20.096,17.414
Belgium,BEL,1853,16.603,0.097,15.823,17.492,16.495
Belgium,BEL,1854,15.972,-0.534,14.419,17.221,16.277
Belgium,BEL,1855,16.479,-0.028,15.237,16.877,17.323
Belgium,BEL,1856,16.741,0.235,15.854,15.941,18.429
Belgium,BEL,1857,18.221,1.715,16.682,18.588,19.394
Belgium,BEL,1858,17.467,0.96,19.347,16.202,16.852
Belgium,BEL,1859,18.629,2.123,16.912,20.517,18.459
Belgium,BEL,1860,14.806,-1.701,14.527,15.099,14.791
Belgium,BEL,1861,17.299,0.793,16.983,16.941,17.974
Belgium,BEL,1862,15.554,-0.952,14.359,16.179,16.125
Belgium,BEL,1863,16.497,-0.01,15.434,16.124,17.932
Belgium,BEL,1864,15.37,-1.136,14.713,16.522,14.876
Belgium,BEL,1865,16.724,0.217,15.331,18.661,16.179
Belgium,BEL,1866,16.314,-0.192,17.418,16.336,15.189
Belgium,BEL,1867,16.037,-0.47,15.296,15.424,17.391
Belgium,BEL,1868,18.06,1.553,16.936,19.144,18.1
Belgium,BEL,1869,15.619,-0.887,13.045,18.373,15.44
Belgium,BEL,1870,16.789,0.283,15.702,18.97,15.696
Belgium,BEL,1871,15.98,-0.527,13.061,17.075,17.803
Belgium,BEL,1872,16.828,0.321,15.588,18.775,16.121
Belgium,BEL,1873,17.387,0.88,16.028,18.537,17.595
Belgium,BEL,1874,16.793,0.287,15.588,19.141,15.651
Belgium,BEL,1875,16.988,0.482,16.149,16.634,18.182
Belgium,BEL,1876,17.365,0.858,15.645,18.37,18.079
Belgium,BEL,1877,17.101,0.595,17.726,16.529,17.049
Belgium,BEL,1878,16.537,0.03,15.832,16.653,17.126
Belgium,BEL,1879,15.827,-0.68,15.447,14.891,17.143
Belgium,BEL,1880,16.635,0.128,14.735,17.53,17.639
Belgium,BEL,1881,16.671,0.164,15.257,18.96,15.795
Belgium,BEL,1882,15.281,-1.225,14.288,16.219,15.337
Belgium,BEL,1883,16.195,-0.312,16.077,16.08,16.428
Belgium,BEL,1884,16.772,0.265,13.731,18.378,18.206
Belgium,BEL,1885,16.265,-0.242,16.49,17.318,14.986
Belgium,BEL,1886,16.247,-0.26,14.349,17.219,17.173
Belgium,BEL,1887,17.176,0.67,16.19,18.892,16.447
Belgium,BEL,1888,15.328,-1.179,15.852,14.747,15.385
Belgium,BEL,1889,16.651,0.144,18.009,16.28,15.663
Belgium,BEL,1890,15.315,-1.192,14.439,15.452,16.054
Belgium,BEL,1891,15.577,-0.93,15.336,16.026,15.369
Belgium,BEL,1892,16.338,-0.169,15.034,16.195,17.784
Belgium,BEL,1893,17.389,0.883,16.4,17.674,18.094
Belgium,BEL,1894,16.061,-0.446,14.686,17.645,15.852
Belgium,BEL,1895,16.551,0.044,15.955,16.863,16.835
Belgium,BEL,1896,16.476,-0.031,16.99,17.578,14.859
Belgium,BEL,1897,17.311,0.804,17.253,17.201,17.478
Belgium,BEL,1898,16.347,-0.159,14.917,15.446,18.679
Belgium,BEL,1899,17.316,0.81,15.649,17.884,18.416
Belgium,BEL,1900,17.34,0.833,16.424,19.26,16.335
Belgium,BEL,1901,17.27,0.764,15.921,18.869,17.021
Belgium,BEL,1902,15.837,-0.67,15.444,16.507,15.56
Belgium,BEL,1903,15.605,-0.902,14.663,16.422,15.73
Belgium,BEL,1904,17.138,0.631,15.265,19.282,16.866
Belgium,BEL,1905,17.433,0.927,16.961,18.773,16.566
Belgium,BEL,1906,16.491,-0.016,14.67,17.38,17.423
Belgium,BEL,1907,14.986,-1.521,14.269,14.605,16.084
Belgium,BEL,1908,16.365,-0.141,16.781,17.15,15.165
Belgium,BEL,1909,15.136,-1.371,13.556,15.016,16.835
Belgium,BEL,1910,16.067,-0.44,16.321,15.597,16.283
Belgium,BEL,1911,18.318,1.812,15.139,19.571,20.245
Belgium,BEL,1912,16.072,-0.435,15.622,18.366,14.228
Belgium,BEL,1913,15.072,-1.435,14.888,14.757,15.57
Belgium,BEL,1914,16.55,0.043,14.507,17.481,17.662
