year,region,dig,yqe
2012,0,0.14227608568778455,0.4024293086443828
2012,1,0.11042149702398474,0.37048271774222197
2012,2,0.09831342502598886,0.3466854834875867
2013,0,0.15606153023450048,0.43178165119031015
2013,1,0.13027162980233817,0.39882332915434837
2013,2,0.10200475204995244,0.35834622605250527
2014,0,0.16343837521687427,0.43729954559192963
2014,1,0.13428478864366297,0.41448609735253716
2014,2,0.11623084941904764,0.38442070871164713
2015,0,0.17584515848335244,0.4510436661944079
2015,1,0.15673993225047972,0.43091447066572924
2015,2,0.13222813404509795,0.39922219799838987
2016,0,0.19542637700783247,0.4665686635531619
2016,1,0.17132178567948764,0.4497183975288827
2016,2,0.1391915842726664,0.42766591086742856
2017,0,0.21968394032258104,0.5011705819176523
2017,1,0.18076465360095859,0.4573319373548295
2017,2,0.1536127309216505,0.44001200508648997
2018,0,0.2467532637545372,0.5213021414657958
2018,1,0.2012032259009505,0.4916406434844542
2018,2,0.17305772239275433,0.4626094999801457
2019,0,0.25487976144160823,0.5347806465257333
2019,1,0.22010469569717567,0.5154438834176911
2019,2,0.1860288662804197,0.4783072782094545
2020,0,0.2921302979715375,0.5502888833984512
2020,1,0.2415735983158211,0.5137882700010403
2020,2,0.21228446896610592,0.49938573718831253
2021,0,0.3224978896735049,0.5828273404900198
2021,1,0.26447832242831465,0.5494121307246798
2021,2,0.2341207779005023,0.5218785654651944
2022,0,0.3495813337090978,0.6152711361967345
2022,1,0.28514504467233515,0.5702439033728848
2022,2,0.25705721855275593,0.5506045436996526
2023,0,0.391118178422289,0.6271804902390186
2023,1,0.33122071613635096,0.6066040801710023
2023,2,0.27293376346880843,0.5559406327427142
