gamma,ssr
-1.0612097699560978,10.977625518104437
-0.9984776807349761,10.956289010526042
-0.9579715445473069,10.882703240264052
-0.9127977973591732,10.872285902741048
-0.8693035404238946,10.807828435488272
-0.8193408610901214,10.779206896775621
-0.7812594889596728,10.73106297635863
-0.7265316561391831,10.646832473803862
-0.6865175227716058,10.658264914801956
-0.6560730516973647,10.66349227106436
-0.6246842157800735,10.622405398338568
-0.5860007520477978,10.545627494271486
-0.5612070494253036,10.503835803509595
-0.5325684275752011,10.41255722392425
-0.5075988683672688,10.405155233966864
-0.4686965807087798,10.345524857297919
-0.4453266468876432,10.230286776028134
-0.4112152381744572,10.173241685583172
-0.38229928486103426,10.119984998936554
-0.3450989261714967,10.106988639581523
-0.323357897462658,10.141163765777378
-0.2916813975674371,10.08187580296909
-0.26085543358661656,10.106988248968431
-0.229341404444228,10.115136246477107
-0.19513584567020675,10.150524015196279
-0.16883609676601805,10.14500363181352
-0.138936731496711,10.173761479023474
-0.10710355840123818,10.200552944292415
-0.07957968353082277,10.219297028839494
-0.056429646837030646,10.197310705320454
-0.027712897281427788,10.235054017502836
0.008566338375457682,10.205455643317258
0.03772570033247776,10.278442738222058
0.07334530389009908,10.295493340818755
0.10493224577306261,10.324988011774622
0.13129865892607215,10.283579032915604
0.16393941944549284,10.280806583137702
0.19836294073990163,10.284064545151082
0.23810942931906548,10.265380391209789
0.2819664359577816,10.264863188566837
0.3250296776166347,10.271091477668419
0.36448135374252105,10.281314518964438
0.40745298319752604,10.284829858461409
0.4464093713526091,10.25291654356915
0.48761870425131204,10.263926511929537
0.5198001780334301,10.279201635183954
0.5571115954716037,10.26633065191466
0.6046852062987398,10.247472164032255
0.6429723525150995,10.205879478656804
0.6786891310662098,10.25403588983914
0.7024189248966867,10.225480005394274
0.7380581700056261,10.19605175293902
0.7684800292900199,10.118956064865205
0.7988535363639511,10.14736637569207
0.8317475997203426,10.303162403111335
0.8619071085853138,10.397572898723453
0.903823243166564,10.487125615226752
0.9497610758564162,10.51443969104942
0.9949729922739354,10.601270196520067
1.0395027215578052,10.696534138352117
