year,ai,lnyemp,hskill,lskill
2012,0.8494063654525276,6.738055724864576,29.731349201829428,34.55306369361779
2013,1.3116234851710407,6.687122320708971,30.65630436374272,33.16695377673389
2014,1.9524396367629622,6.622078420778062,32.0208281387221,32.28690378895532
2015,2.9761569884570043,6.581677767276957,33.41137341510103,31.44025675905995
2016,3.843734979198241,6.580233887001939,33.841495888887856,31.002404198204893
2017,5.906787609253069,6.553377876151118,35.95483157133445,29.170183647608926
2018,7.442069129046755,6.594155028639938,36.75781054117339,28.653454603672564
2019,8.629538530709869,6.600941340149803,37.06627655380274,29.036121231453368
2020,10.899901123139156,6.642326429147927,37.82506184583859,27.736472132913477
2021,12.616292155396438,6.692715780566844,38.13294323308612,26.823145463331816
2022,15.758936760765076,6.747379390676699,39.96117357004653,26.289817390501064
2023,17.633063900914134,6.787341654320785,40.02219097018384,25.728445910398662
