预测变量	模型 1	模型 2	模型 3
职业决策焦虑		0.37***	0.35***
自主支持型支持		-0.15**	-0.15**
指导代办型介入		0.08	0.08
参与频率		-0.01	-0.01
焦虑 × 自主支持			0.08
焦虑 × 指导代办			-0.10*
焦虑 × 参与频率			-0.03
控制变量	已控制	已控制	已控制
R²	0.021	0.204	0.220
调整 R²	-0.004	0.175	0.186
ΔR²		0.183	0.017
ΔF		22.06***	2.70*
