构念	条目数	标准化载荷	Cronbach α	CR (ω)	AVE
职业决策焦虑	8	0.67–0.81	0.90	0.90	0.53
职业探索行为	8	0.65–0.78	0.88	0.88	0.49
职业决策自我效能	10	0.58–0.76	0.89	0.89	0.44
父母自主支持型生涯支持	6	0.60–0.81	0.88	0.88	0.55
父母指导代办型生涯介入	6	0.57–0.71	0.83	0.83	0.45
父母生涯参与频率	3	0.66–0.81	0.78	0.79	0.55
职业决策困难	12	0.63–0.81	0.94	0.94	0.56
