构念	量程	M	SD	1	2	3	4	5	6	7
1. 职业决策焦虑	1–5	3.42	0.78	(0.90)						
2. 职业探索行为	1–5	3.16	0.76	−.28***	(0.88)					
3. 职业决策自我效能	1–5	3.28	0.72	−.31***	.50***	(0.89)				
4. 父母自主支持型生涯支持	1–5	3.52	0.80	−.16**	.27***	.30***	(0.88)			
5. 父母指导代办型生涯介入	1–5	2.68	0.75	.24***	−.08	−.17***	.14**	(0.83)		
6. 父母生涯参与频率	1–5	3.22	0.83	.08	.13**	.09	.48***	.42***	(0.78)	
7. 职业决策困难	1–9	4.64	1.32	.41***	−.36***	−.39***	−.19***	.14**	−.01	(0.94)
