	职业决策焦虑	职业探索行为	职业决策自我效能	父母自主支持型生涯支持	父母指导代办型生涯介入	父母生涯参与频率	职业决策困难
职业决策焦虑							
职业探索行为	0.32						
职业决策自我效能	0.35	0.56					
父母自主支持型生涯支持	0.18	0.30	0.34				
父母指导代办型生涯介入	0.28	0.10	0.20	0.17			
父母生涯参与频率	0.11	0.16	0.11	0.58	0.53		
职业决策困难	0.45	0.39	0.42	0.21	0.16	0.10	
