p_a,ai_share,A,theta_j,m,pi,promo_years,e_j,e_s,H_j,emp_rate_j,u_rate_j,u_rate_s,throughput,mentoring,w_j,w_s,wage_ratio,U_j,U_s,Y,welfare,U_total,plan_m,plan_mentoring,plan_welfare,plan_throughput,wedge_mentoring,wedge_throughput,welfare_gap_pct
0.38236245070993796,0.25000000000001754,0.026336834658507557,6.01302033594239,0.011315005283926574,0.2860000000000042,3.496503496503445,0.07901050397551529,0.8650133183642718,0.04195457761099896,0.8219999999999983,0.17800000000000168,0.0430000000000004,0.022597004136997705,0.0008940042699686571,0.3549456181080046,0.6034075507836079,1.7,8.138238828607253,8.816117953739411,1.0000000000000027,0.9804619879888544,0.055976177660212914,0.27708791507220076,0.006503720530588767,0.9941375326395376,0.024126562491242787,6.2748204332589825,0.06768854601131657,1.3948062054639054
0.37806087313945114,0.3024487737613696,0.03278407869414594,5.580442223632757,0.012737324188799016,0.29987165028159574,3.3347600517119433,0.07561139696419612,0.8679146462896132,0.041198506643978436,0.8125764584327713,0.1874235415672287,0.0430387458279558,0.02267371438775033,0.0009630868755009398,0.35347975623634936,0.6026585835831675,1.704930969739065,8.144668402290357,8.80504064559508,1.0030559107593187,0.9815642717841863,0.0564739567461906,0.28118811492356643,0.006562256615652306,0.9945002643626932,0.024130102233198045,5.813774315259997,0.06423243322825578,1.3178956233801387
0.37375929556896437,0.34852048941751657,0.03888280318987781,5.184074146066012,0.01415902695632774,0.3128365531200205,3.196557403623954,0.0726825261681257,0.870336805615298,0.04054496986968293,0.8032109289753561,0.19678907102464396,0.04307069858832805,0.022737750958492137,0.0010291138472684883,0.3519430997955138,0.6020424574992163,1.7106244101646413,8.149070789441664,8.795928378768325,1.0058238203359198,0.9825413193572862,0.056980668216576255,0.2852904856805186,0.006620485819171086,0.9948768836101267,0.024133572495670705,5.4331908823726565,0.061387845250246764,1.255475368802772
0.36945771799847754,0.38944607179668583,0.04473327433495323,4.820193766862748,0.015574218401628152,0.3249874819806542,3.0770415952806696,0.07013057351072917,0.8723722611060657,0.03997354900523967,0.793892133383161,0.206107866616839,0.04309718300615911,0.02279155849511104,0.001092228868487534,0.3503352610231212,0.6015328187989439,1.7170204821582158,8.151789210917416,8.78839122873708,1.008367923733951,0.9834200085668388,0.05749716538320515,0.28939497686823573,0.006678413651555323,0.9952679272977644,0.024136975557604023,5.114481904148229,0.05903137614663723,1.2047668979393578
0.36515614042799077,0.42614298541779905,0.050411993138523604,4.485678314797455,0.01697772516714332,0.3363999544286417,2.9726520079304097,0.06788631250904839,0.8740896718255466,0.03946909899908923,0.7846141895792111,0.2153858104207888,0.0431191789518988,0.022836952434372407,0.0011525551563894272,0.34865550272772144,0.6011102695458952,1.724080832922707,8.153081109060741,8.782142206309517,1.0107361989354005,0.9842203354396716,0.05802401566540499,0.293501540005207,0.0067360454596531805,0.9956739618842946,0.024140313595754095,4.844445207077963,0.05707246468753735,1.1637258479836765
0.36085456285750395,0.459310905882997,0.0559791459786528,4.177865027503497,0.018364939397781273,0.347136218747963,2.880713523949647,0.06589722416987727,0.875541241190891,0.03902013314593803,0.7753757509589623,0.22462424904103775,0.043137428758649815,0.022875313224318072,0.0012101985283618035,0.34690283929284016,0.6007601783059435,1.7317822463793908,8.153144299292526,8.776964854534397,1.0129654705603197,0.9849575877416847,0.05856153463923173,0.29761012850449964,0.006793386433523365,0.9960955852852241,0.024143588690600685,4.613447937934031,0.05544297705765833,1.1308098624912999
0.3565529852870172,0.4894941201103546,0.06148347661453566,3.8944507532031105,0.01973171338814769,0.3572481990344672,2.7991743630974057,0.06412268306859688,0.8767675119003387,0.03861777039532037,0.7661793578292792,0.23382064217072082,0.04315250693632827,0.022907713043514157,0.0012652504039885842,0.345076118608931,0.6004712663789888,1.7401124969169277,8.152134303844417,8.772692325572212,1.0150847055025052,0.9856437555637514,0.05910980503106442,0.30172069758172454,0.006850441612863759,0.9965334289401636,0.024146802831853373,4.414297115628953,0.054090505935075806,1.1048285260209179
0.35225140771653035,0.517123454959855,0.06696557306223916,3.6334181688958376,0.021074288707652416,0.3667797066641599,2.7264321930320023,0.0625307250073152,0.8778005884941028,0.03825502860247253,0.757030926781134,0.24296907321886593,0.04316486685034308,0.022935000975680315,0.0013177905519029813,0.3431740910324924,0.6002346660533462,1.7490675483322393,8.15017617373703,8.769193444237995,1.0171172242022715,0.9862884757078706,0.05966868649858194,0.30583320416878895,0.006907215893111657,0.9969881600473521,0.024149957923585996,4.241512684346656,0.05297392178853588,1.0848432890592452
0.3479498301460435,0.5425451938714863,0.0724601488430897,3.392980573246505,0.022389249194049568,0.37576812757208766,2.6612155918097637,0.061095819694811426,0.8786663602898114,0.03792633759442994,0.7479393262094645,0.2520606737905355,0.04317487281352977,0.022957861769201168,0.0013678895318618544,0.34119546922355104,0.6000432760729808,1.7586496017619533,8.147372754974016,8.766363170430635,1.0190822246602358,0.9868996815006948,0.06023782001537716,0.3099476068331304,0.006963714031237235,0.9974604839809194,0.024153055789028155,4.090845327077562,0.05206033697050927,1.0700988842316406
0.34364825257555676,0.5660414824095434,0.07799766852701664,3.1715399552693806,0.023673490687190085,0.3842457287991336,2.60250127730829,0.05979730048301718,0.8793860699989029,0.03762719592265688,0.7389160019537043,0.2610839980462957,0.04318282266385693,0.02297685730431772,0.0014156108361038143,0.3391389811915975,0.5998913099856189,1.7688656959392959,8.143810592482055,8.764115916098595,1.0209958579309577,0.9874840607851583,0.06081662951807998,0.31406386570201356,0.007019940651249006,0.9979511469080584,0.0241560981750421,3.958948089554039,0.05132298360501997,1.0599751974302851
