gamma_w,d_ln_w_j,d_ln_emp_rate_j,incidence_ratio,d_ln_mentoring,d_welfare_pct
0.0,-0.07887053584437002,-0.002097857781912215,0.026598751478648226,0.014442915312066224,0.12431052608716797
0.2,-0.0705788116961047,-0.013258006831165983,0.1878468411773742,0.08497474575837159,0.2257642926006831
0.4,-0.060582405880896646,-0.027306022351787255,0.4507252882209754,0.16295804896589228,0.3300954293189218
0.6,-0.04789091258481574,-0.04622160605616044,0.9651435640175174,0.25266631295414793,0.43894178148902174
0.8,-0.030271660467441886,-0.07488263602319678,2.473687761652037,0.3632083556670702,0.553957233525626
0.9,-0.017840976239635077,-0.09712853281362128,5.444126571832034,0.43319863599483477,0.6135200152889153
1.0,0.0,-0.1326744415366372,,0.524196445495278,0.6710057053412433
