t_a,welfare,emp_rate_j,ai_share,fiscal
-0.1,0.9929205699878291,0.5943816810775013,0.867901707229324,0.011304677381830028
-0.08,0.993348000598875,0.6073033545587265,0.8550327710206966,0.009808563099191564
-0.060000000000000005,0.9936874942321536,0.6212701678369555,0.8402992373666222,0.008423026345159032
-0.04000000000000001,0.9939388290484751,0.6364738224302262,0.8231560948729386,0.00713392691466956
-0.020000000000000004,0.994095019055445,0.6531874335254492,0.8027749021185119,0.005928525020002176
0.0,0.9941375326395376,0.6718192698859056,0.7778108612848746,0.00479533377425893
0.01999999999999999,0.9940248926209535,0.6930224341185639,0.7458753299424138,0.003724257478471492
0.04000000000000001,0.9936610409352525,0.7179524459255393,0.7021273916509012,0.002707769976320705
0.06,0.9927819255853734,0.7490194140496442,0.6343983797149663,0.001747203092659531
0.07999999999999999,0.99028100560005,0.7931763404308136,0.49531125149266403,0.0009017238347862461
0.1,0.9786492194833789,0.8612617800788904,0.0,0.0010869570402592538
0.12,0.9786492194833784,0.8612617800788871,0.0,0.001086957040259207
0.13999999999999999,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.16,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.18000000000000002,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.19999999999999998,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.22,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.24000000000000002,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.26,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.28,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.30000000000000004,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.31999999999999995,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.33999999999999997,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.36,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.38,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.4,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.42000000000000004,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.44000000000000006,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.4600000000000001,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.48,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
0.5,0.9786492194833784,0.8612617800788885,0.0,0.0010869570402592186
