sigma,rho,p_a,ai_share,d_ln_emp_rate_j,d_ln_mentoring,wedge_mentoring,welfare_gap_pct
1.5,0.33333333333333337,0.41052515049683513,0.25000000000058625,-0.08802018433298428,1.1165166870571672,18.412057887228993,2.879991277204086
2.0,0.5,0.40023247757874364,0.2499999999999809,-0.0797850007496344,0.6497745951163034,10.035593685478473,1.939641261768954
2.5,0.6,0.3823624507099382,0.2500000000000161,-0.0748826360231914,0.36320835566710635,6.274820433258961,1.3948062054639054
3.0,0.6666666666666667,0.35961825929448404,0.2499999999998281,-0.07113649189563855,0.20975924896640294,4.627049373668582,1.160538059033156
4.0,0.75,0.31681945851616566,0.2500000000000217,-0.057442960366683365,0.08507147878994051,3.565446323149901,1.1405856311194063
5.0,0.8,0.28651728938030274,0.25000000000000594,-0.040961207106261686,0.04352231911888018,3.342381430220949,1.2590913255670744
