Mediator	Total effect	Path a	Path b	Direct effect	Indirect effect	95% bootstrap CI	Share of total (%)
Training investment	-1.348***	-0.242***	0.700***	-1.179***	-0.169	[-0.207, -0.136]	12.5
Routine task base	-1.348***	-2.272***	0.132***	-1.047***	-0.301	[-0.339, -0.267]	22.3
