year,NER,SEflow,MM,DUR,RATIO,THETA,H,A,GAP,TIGHT,PSI
2015,0.1169607191759457,0.059913419365773206,0.1777531549424106,0.7159377674904741,35.71935457460466,0.5266629732413616,0.5922292514779094,0.6513256328947467,0.06556627823654781,1.5288109644769707,0.05032999999999999
2020,0.13664274226615464,0.09729859006735658,0.19729146661785316,0.8432391414430391,48.06648448142534,0.5811610199795604,0.5933113972509528,0.6434709775767656,0.012150377271392454,1.5625802516560219,0.07813358080883255
2025,0.1780179541322825,0.19106979310771693,0.24271076278850365,1.220462412569458,96.29655212087442,0.6523355167156862,0.5904752491123758,0.6198466101029719,-0.061860267603310426,1.433000117223538,0.11283547544519956
2030,0.2612083161895436,0.37962148063121837,0.3014005781938559,2.284907776558654,237.20457563759294,0.7298809585713248,0.5867976781260306,0.5867374111052868,-0.14308328044529428,1.3272050671357092,0.1498991360534598
2035,0.39049680879063425,0.5169749334792119,0.35977524443370024,4.7764291068133415,496.3292997633362,0.8008552435222644,0.5896981223630718,0.5548095389528777,-0.2111571211591926,1.3439647521880034,0.18344530882039511
2040,0.517298353815805,0.5420236388794446,0.4110048082311246,8.632513759278249,753.7633747968682,0.8569619921300424,0.5961810220281213,0.5305681940228822,-0.26078097010192114,1.3604299858828228,0.2095532051355647
