year,NER,SEflow,MM,DUR,THETA,GAP,max_real_eig,slowest_tau,kind
2015,0.11696071917594725,0.05991341936537039,0.1777531549423803,0.7159377674904885,0.526662973241357,0.06556627823658168,-0.12500000001099565,7.9999999992962785,stable
2016,0.11975065256512403,0.06417821120683584,0.18404811319761694,0.7410117726930385,0.5366970105565025,0.054937377461465875,-0.12499999999381735,8.00000000039569,stable
2017,0.12296542154810886,0.06928034712577315,0.19101308712831783,0.7702687386978021,0.5474553798772,0.04349987046537929,-0.12499999997996167,8.000000001282453,stable
2018,0.1267096059187695,0.07546538268068263,0.19870422271262517,0.8047768682553105,0.5589395261961304,0.03123361434667149,-0.1249999999736032,8.000000001689395,stable
2019,0.13111870909185672,0.0830627449719236,0.20717885623587093,0.8459534714498004,0.5711411950242453,0.018123707085138552,-0.12500000001403544,7.999999999101732,stable
2020,0.13637008270098774,0.09251731114860721,0.2164949521610244,0.8957093516392273,0.584041542811036,0.004160428764837798,-0.1250000000241048,7.999999998457293,stable
2021,0.1426983903143559,0.10443271028297638,0.22671047560238583,0.9566669925648004,0.597610545624081,-0.010661096358336675,-0.12500000001555694,7.9999999990043555,stable
2022,0.1504174204700774,0.11962847208622739,0.23788246259107498,1.0324952546310802,0.6118067479184239,-0.02634118308462796,-0.12500000003575074,7.999999997711953,stable
2023,0.1599500439321654,0.1392087000713273,0.25006498146037726,1.128426037298618,0.6265772918388133,-0.04287479458800325,-0.12499999997993938,8.00000000128388,stable
2024,0.17186613126253997,0.1646247884864483,0.26330378110822006,1.252041705473009,0.6418579329346732,-0.06024712326455639,-0.1249999999770534,8.000000001468583,stable
2025,0.18691981463926724,0.1976725344566022,0.27762239844126846,1.4144095321537178,0.657572262063601,-0.07841989258146342,-0.12500000001741568,7.9999999988853965,stable
2026,0.20605196925144262,0.24026738755090005,0.2929893736814116,1.6314592636109688,0.6736285472704329,-0.09729794158906602,-0.12499999998627645,8.000000000878307,stable
2027,0.2302676869561287,0.29369469366295464,0.3092531891462613,1.9248277599576777,0.6899121161764465,-0.116664291898667,-0.12500000001609196,7.9999999989701145,stable
2028,0.26024440424073747,0.3570785817923595,0.32605145642767763,2.319978092516314,0.7062741513618674,-0.13609577844855203,-0.1250000000765916,7.999999995098138,stable
2029,0.2956783958429726,0.4257596409546306,0.3427748605487336,2.8389117870198164,0.7225288427718756,-0.15494729703060817,-0.1250000000098191,7.999999999371578,stable
2030,0.33491502788271277,0.49185814088142576,0.3587188865801671,3.4900088845410844,0.7384787048292716,-0.17253070374254287,-0.12500000001566797,7.99999999899725,stable
2031,0.3755193490410983,0.5479067913876267,0.37337088080268366,4.265011849936665,0.7539600451874688,-0.18840570946237944,-0.12500000000182,7.999999999883521,stable
2032,0.4153234816579646,0.590095444026229,0.3865534863757272,5.14649568754402,0.7688666096019764,-0.20249316253400262,-0.12499999996417893,8.000000002292548,stable
2033,0.45295918957311915,0.6183623836777817,0.3983397715802726,6.116535853289918,0.7831385954904319,-0.21495683369905594,-0.12499999997062516,8.00000000187999,stable
2034,0.4877768245332452,0.634738127122944,0.40890805574425665,7.1601872383412335,0.7967421644761659,-0.22604427127751436,-0.12499999998664893,8.000000000854468,stable
2035,0.5195755659278697,0.6419001757873813,0.4184513240366672,8.26523189034247,0.8096566554627096,-0.23599691635050712,-0.1249999999788345,8.000000001354593,stable
2036,0.548387874156474,0.6424286695414293,0.4271429720701515,9.420923675471801,0.8218697645839916,-0.24502106638604415,-0.12499999997246489,8.000000001762247,stable
2037,0.5743524222836882,0.6385433728401129,0.4351314645741114,10.616916177082263,0.8333766172248247,-0.25328743713483215,-0.12500000000134512,7.999999999913912,stable
2038,0.5976474863375313,0.6320718350966514,0.4425457210759122,11.842587625941693,0.8441800662264726,-0.2609400699368377,-0.12500000000917066,7.9999999994130775,stable
2039,0.6184578059227956,0.6245076321528442,0.4495032366977168,13.086702045388158,0.8542910952451728,-0.2681067757155273,-0.12499999999156436,8.000000000539881,stable
2040,0.6369594710447198,0.6170920951264908,0.4561175797757864,14.3373586310842,0.8637289078617417,-0.27490813453437213,-0.1249999999885027,8.000000000735827,stable
