NER_T,DUR_T,SE_T,MM_T,NER_mean,DUR_mean,person_years,policy
0.6660665744352228,19.156778981764802,0.6200080784442599,0.4632802829616825,0.4411750311651702,7.751013892281037,86286.35141571704,Baseline
0.6026218167173939,16.36599882712926,0.5830597354261123,0.4948152602713643,0.4131858184770617,7.1581155659321505,63575.46635883605,Baseline
0.7073107446459165,35.12607679359078,0.6887426784106924,0.5356658016867932,0.4502267342481127,12.235417976261123,70600.88320925555,Baseline
0.684296269543202,27.916020094222525,0.6595119581952659,0.5196947199894425,0.4499230163520153,10.342640960882036,73468.93556306034,Baseline
0.6745427528134841,26.03401414727171,0.6697543323988682,0.49902255442126464,0.42819306318023675,9.586065201963969,65034.3092893797,Baseline
0.34817821086449924,4.3561666818196985,0.4855581762105535,0.42524347500896215,0.22623725726245583,2.0878295744020914,34411.97531454288,Baseline
0.7094286238711393,23.782816556087248,0.6451861810349334,0.4668720142552845,0.49289228214175046,9.860462855682933,98222.5154251508,Baseline
0.5007183239244124,6.748427254890444,0.5933505277579976,0.3736014486559986,0.3419671832782337,3.4227375048209665,67770.98217342874,Baseline
0.2341482300453419,2.1380160046552414,0.23963085760026392,0.3701329491686736,0.17550780265182217,1.3353643986803272,23919.172407398593,Baseline
0.31712894271146497,3.794909046600921,0.30175885204889347,0.4284859527644263,0.2154592555192197,1.9320885715250498,31664.339749858154,Baseline
0.6363881278743733,15.768339843357879,0.6006289749007804,0.4469000639547894,0.40598590090177505,6.267644031637561,82837.41687233723,Baseline
0.5035148860180894,6.972740838356896,0.4652957228947087,0.3801448864124486,0.3546272609429116,3.7575341947105914,64330.392702431294,Baseline
0.3300243070298656,3.455770223670293,0.4144442705007377,0.3880832447298584,0.22326196138677354,1.7950993883564086,38503.75599332398,Baseline
0.25665490817811015,2.2611426120201554,0.3586368298995657,0.3337180244212492,0.18877829036491545,1.4251600980690924,25360.77571130618,Baseline
0.6426909629878551,23.218834601127725,0.6590341673845069,0.5109789435872613,0.3886162161455389,8.195777655837551,59064.60488644357,Baseline
0.46943243426070713,9.54024552673783,0.6836544479388103,0.47490045054542523,0.2747931320877741,3.591542844616499,38645.82450502955,Baseline
0.4904332950403455,7.139979517536591,0.47095420384533987,0.3688803989150252,0.35146391020673584,4.08552960563241,47389.109421204404,Baseline
0.5211705739133012,11.718600078327768,0.6790786068366313,0.5040457435397464,0.30176257212664864,3.9933727834219086,59966.672059481854,Baseline
0.14974664694321063,1.046339861376302,0.06049411378684124,0.31438177367251546,0.13436967671488728,0.8616880724293143,18390.28828014002,Baseline
0.5340342708465806,9.436400208846695,0.5034385612379066,0.42332984332121654,0.38756718084115,5.101908347308441,57742.85783474259,Baseline
0.4760126475855796,7.149252868319488,0.6037656947522223,0.4088468582576051,0.29473107008417,3.0699974432515997,53853.136561828025,Baseline
0.6073622094979139,17.661822847570907,0.6022963517210825,0.4874817776490949,0.4136696962057103,7.637026639779763,56574.35866509911,Baseline
0.7065121451884104,31.459212413519964,0.6837904855734669,0.5191849404504737,0.44883344852372636,11.45176320157229,72769.40992030196,Baseline
0.63787531737392,17.108331910162484,0.5928343515534177,0.48192092076273674,0.4342908712058634,7.281558073289571,83464.94278860488,Baseline
0.5193811317139128,7.16880798148438,0.48864979683610726,0.3673084169352306,0.3423941381465487,3.4996548226630546,70670.0071046441,Baseline
0.33209190711915815,3.637028292287067,0.2551702697908008,0.4289141958610446,0.22402839445127,1.8042216121240056,45507.75414050894,Baseline
0.7341876189130413,35.46383252949409,0.6850203773601838,0.5154370656043267,0.5028483696590725,13.10089697040173,88216.9630530992,Baseline
0.46673268978592314,5.166834801812368,0.44829553578293346,0.31483640610238545,0.3345648076970502,2.972606417182348,62497.54896104711,Baseline
0.46813365590685513,7.123465289517811,0.5935383721745929,0.42085207127396534,0.29059438564508294,3.0310475020309964,53326.97832601975,Baseline
0.6676138090787127,21.656383701185185,0.7790076845898289,0.4969972791411308,0.41815434520560885,7.867949489942798,85031.30666984842,Baseline
0.6922918585509662,23.213853072269615,0.6447262448761525,0.4717068674922484,0.4639963131524423,9.090769007801148,88468.34985293276,Baseline
0.5828010410688418,15.445668971752752,0.7419200924393651,0.4876201134715176,0.3683695127178589,6.282588809515529,52826.328078454375,Baseline
0.35183134872225863,3.6249981494398527,0.4606996523275119,0.3461467778667113,0.2517780841212348,2.12170890761879,36939.56993827535,Baseline
0.41559415317897835,4.89920189449449,0.5418725467124283,0.36583280605009844,0.27705424571029214,2.46012269637422,48237.217365353805,Baseline
0.5470316950418062,10.22026088686291,0.6346666981115258,0.4090676403500224,0.35746109835469425,4.678127835485054,54227.454648721476,Baseline
0.4111100065089543,6.637454208021083,0.5570228823646404,0.4517795855972193,0.2634688440373407,2.93498706040044,36714.08644918768,Baseline
0.7008984612531148,27.433256443292258,0.7433184114399651,0.4968396017654812,0.44238005240297873,10.176155743885236,76058.88008667318,Baseline
0.5017720110833108,10.102501858968758,0.630325973183496,0.4708896694423823,0.3125695876886056,4.002400508159893,50522.5825320311,Baseline
0.674654101755317,25.646276639169155,0.6538695551643235,0.5029060613626766,0.45652012691430494,10.112783939964626,68756.54034328472,Baseline
0.35716686022806693,4.033240190289952,0.46304620654318557,0.3738301434729265,0.24359460251867113,2.1601445144149554,35338.197528356104,Baseline
0.5030934541520484,6.41231982449067,0.44890849483596185,0.3633210225001489,0.37832712456480383,3.8621265428893627,72185.05413395882,Baseline
0.3495359827695198,5.142488628147295,0.4749823866165585,0.4572790006321041,0.21931827637387177,2.244405961875369,30050.556056416364,Baseline
0.21849550297381973,1.833808222817744,0.2160520750692036,0.3474514111007733,0.16843892082721887,1.2190897325185686,23198.04617910354,Baseline
0.508466810514646,7.588603136183744,0.6209494044832993,0.38649942186828135,0.3179776851515427,3.3322250996987233,61824.23786564465,Baseline
0.17781909106537652,1.2456084931227285,0.03794136673397849,0.3192404549175462,0.15606756871806252,0.9913609351779791,24003.777957721642,Baseline
0.5469142736069833,9.768290075819943,0.5418095002214599,0.4262562238634373,0.3552557073133173,4.389962834818638,65627.58835293131,Baseline
0.5023426124281751,7.558720688039943,0.47433626595243084,0.3789197686882684,0.37096288241009745,4.424215148833144,51339.320024597706,Baseline
0.25651990205657926,2.3969725595793547,0.16987884981579923,0.3776293334350516,0.19567968532791527,1.5124166521826896,28295.013109163017,Baseline
0.5261492741861687,7.941885756498959,0.4873303546113229,0.3883494454348637,0.3745711846530082,4.282225952069705,65055.1246299116,Baseline
0.46603104735499334,5.641373390686868,0.4381789822799749,0.3529208730952921,0.3346871623686589,3.266045853039563,56987.02571400612,Baseline
0.5309202352623194,8.352365634931719,0.5840112456248292,0.40933994899427273,0.3484332758654325,3.8297116502822477,73384.74959794979,Baseline
0.5524932061970795,9.383353709249858,0.5169797017453495,0.39520653910893266,0.39518890061302936,4.968713063463573,64134.33320630908,Baseline
